id,months_on_book,status,dpd,payment_amount
298,44,Paid,72,698
299,40,Late,38,11061
300,45,Paid,98,11099
301,2,Paid,44,14206
302,41,Paid,60,957
303,52,Paid,81,4058
304,17,Late,42,9593
305,50,Late,116,11900
306,56,Paid,66,6534
307,48,Paid,91,12940
308,41,Paid,79,8312
309,5,Paid,41,13097
310,52,Paid,40,12214
311,48,Default,46,13239
312,26,Paid,42,2815
313,13,Paid,22,1401
314,55,Late,31,7400
315,34,Paid,73,4797
316,55,Late,119,14670
317,30,Late,101,9051
318,44,Late,56,8266
319,41,Paid,37,1636
320,2,Paid,76,14105
321,12,Paid,14,12689
322,56,Paid,27,5784
323,22,Default,12,1007
324,38,Paid,34,12509
325,13,Paid,1,5772
326,48,Paid,60,13871
327,52,Paid,64,13697
328,25,Paid,40,8758
329,40,Late,95,5223
330,39,Late,93,3127
331,47,Paid,85,9367
332,37,Paid,3,2828
333,21,Paid,52,1531
334,18,Default,109,1804
335,53,Paid,87,12183
336,19,Paid,13,14353
337,13,Late,16,10342
338,55,Paid,13,13122
339,25,Late,103,4783
340,16,Late,102,5408
341,45,Late,40,2264
342,58,Paid,61,1058
343,29,Paid,51,4261
344,46,Paid,26,9541
345,16,Late,84,8659
346,22,Late,39,2589
347,44,Paid,34,2725
348,12,Paid,89,14586
349,43,Paid,94,8669
350,26,Paid,58,8695
351,28,Paid,96,13097
352,55,Late,48,12380
353,28,Paid,62,10400
354,23,Paid,10,13586
355,39,Paid,79,5699
356,30,Paid,5,14896
357,36,Late,97,7840
358,38,Late,40,2925
359,55,Paid,31,10102
360,14,Paid,20,9634
361,58,Paid,92,2550
362,31,Paid,74,976
363,46,Late,56,7750
364,12,Paid,119,12846
365,47,Late,119,7702
366,11,Default,4,808
367,4,Paid,90,10115
368,25,Paid,27,8043
369,43,Paid,94,11942
370,25,Late,113,2701
371,44,Paid,74,5273
372,20,Late,76,9060
373,8,Default,106,11831
374,24,Paid,69,12132
375,18,Paid,26,8085
376,38,Paid,93,8934
377,9,Default,52,2824
378,24,Paid,47,9372
379,49,Paid,82,4014
380,5,Paid,77,10828
381,48,Late,57,14070
382,45,Paid,8,10976
383,13,Late,54,2859
384,21,Late,44,8881
385,9,Paid,27,9420
386,2,Late,27,14035
387,53,Paid,45,6215
388,48,Paid,24,514
389,1,Paid,25,3765
390,8,Paid,61,9457
391,24,Default,67,12520
392,34,Late,66,13841
393,10,Paid,33,13247
394,45,Late,20,11930
395,1,Paid,80,1331
396,35,Paid,101,1769
397,41,Paid,33,4268
398,55,Paid,43,4578
399,55,Paid,75,11058
400,26,Paid,88,14842
401,4,Paid,20,4681
402,31,Paid,17,5947
403,5,Late,35,8906
404,23,Paid,69,4106
405,34,Paid,83,8683
406,15,Paid,52,11583
407,3,Late,19,6905
408,19,Paid,95,11437
409,43,Paid,94,2049
410,39,Paid,83,12047
411,39,Paid,114,2808
412,27,Paid,93,4535
413,22,Paid,2,12843
414,49,Paid,83,9201
415,58,Default,7,2188
416,59,Paid,84,3982
417,15,Paid,47,9135
418,40,Default,22,5751
419,42,Paid,117,6364
420,15,Paid,0,11362
421,32,Late,1,14437
422,58,Paid,73,4558
423,31,Paid,36,11002
424,52,Paid,93,5511
425,56,Paid,50,12083
426,39,Paid,43,1891
427,17,Paid,23,7198
428,55,Paid,31,13143
429,52,Paid,55,12689
430,53,Paid,49,7471
431,13,Paid,63,976
432,38,Paid,29,13455
433,37,Default,37,2587
434,16,Paid,118,5942
435,28,Paid,77,3534
436,34,Default,54,3528
437,32,Paid,2,13142
438,56,Late,24,4910
439,24,Late,44,2311
440,37,Paid,61,5042
441,5,Default,6,11452
442,44,Paid,80,8854
443,23,Paid,104,4909
444,50,Paid,26,6508
445,21,Paid,101,7805
446,1,Paid,101,12004
447,13,Late,22,14382
448,52,Late,31,9576
449,44,Paid,1,3208
450,8,Paid,74,1822
451,1,Paid,33,14622
452,15,Paid,51,10955
453,10,Paid,60,5978
454,1,Paid,110,2676
455,14,Paid,33,5793
456,45,Paid,6,13938
457,52,Paid,9,9618
458,42,Paid,88,3122
459,37,Paid,1,10145
460,41,Paid,112,12426
461,46,Paid,29,14597
462,21,Paid,80,13070
463,1,Paid,28,14812
464,47,Default,81,11807
465,27,Paid,109,2721
466,51,Late,59,7216
467,52,Paid,98,7807
468,31,Paid,16,14038
469,7,Paid,55,3932
470,18,Paid,110,3843
471,36,Late,85,8072
472,24,Paid,50,4558
473,53,Paid,24,5736
474,38,Paid,83,4787
475,35,Paid,15,14958
476,4,Paid,24,13056
477,57,Default,14,9125
478,2,Paid,100,10867
479,35,Paid,78,14331
480,18,Paid,56,10155
481,2,Late,14,8875
482,27,Paid,55,8827
483,57,Paid,81,6083
484,40,Paid,36,7882
485,7,Paid,64,13472
486,41,Paid,32,853
487,31,Late,2,13963
488,56,Paid,48,3433
489,41,Late,21,12808
490,34,Paid,53,13440
491,7,Late,20,5925
492,57,Paid,109,13222
493,45,Paid,104,9719
494,29,Paid,26,14544
495,57,Paid,3,14705
496,8,Paid,114,2479
497,33,Late,98,4279
498,3,Paid,0,4232
499,40,Paid,3,9621
500,32,Paid,54,5692
501,19,Default,23,7564
502,4,Paid,109,10844
503,10,Paid,28,12104
504,18,Default,21,8823
505,19,Paid,22,11059
506,53,Late,84,1347
507,12,Paid,77,14860
508,11,Late,7,3995
509,32,Late,57,5114
510,6,Paid,79,10609
511,38,Paid,98,11424
512,55,Paid,87,14328
513,28,Paid,58,4379
514,26,Paid,89,13064
515,8,Paid,6,7075
516,54,Paid,24,11657
517,10,Paid,101,2638
518,22,Paid,44,4335
519,34,Paid,89,14896
520,45,Paid,25,12477
521,51,Paid,29,4572
522,22,Paid,65,834
523,22,Default,106,7542
524,6,Paid,52,13410
525,31,Paid,72,10795
526,36,Paid,38,1716
527,11,Paid,107,11618
528,18,Paid,10,11324
529,56,Paid,78,5274
530,34,Paid,11,5645
531,3,Paid,98,12037
532,49,Paid,49,3899
533,41,Paid,55,14850
534,51,Paid,39,10529
535,50,Paid,110,6921
536,38,Late,15,9625
537,56,Paid,48,14327
538,36,Late,31,10760
539,17,Paid,81,3523
540,30,Paid,116,12833
541,55,Paid,44,2636
542,30,Paid,84,4362
543,51,Paid,79,5103
544,53,Paid,70,6916
545,43,Paid,4,13907
546,50,Late,43,3299
547,31,Late,40,11829
548,32,Late,96,5492
549,56,Paid,94,2492
550,48,Paid,84,14304
551,19,Late,66,8909
552,9,Late,73,4004
553,49,Paid,74,14102
554,16,Paid,21,3631
555,38,Paid,16,7929
556,19,Paid,113,7068
557,30,Late,88,7868
558,36,Late,104,5191
559,11,Late,91,13732
560,52,Paid,49,11277
561,15,Late,83,6876
562,24,Paid,93,12949
563,41,Default,30,3298
564,21,Default,12,6205
565,43,Late,73,4573
566,10,Paid,50,6865
567,42,Late,119,1783
568,51,Paid,32,858
569,25,Paid,104,2773
570,32,Paid,19,568
571,33,Late,47,2525
572,49,Paid,77,8700
573,51,Late,71,8972
574,50,Late,71,2075
575,24,Paid,101,5814
576,21,Paid,91,9484
577,26,Paid,73,8998
578,17,Paid,103,4460
579,19,Paid,13,645
580,3,Paid,61,4065
581,13,Paid,50,942
582,2,Paid,77,4426
583,41,Paid,69,9000
584,45,Paid,97,13269
585,32,Paid,80,6027
586,33,Paid,20,6192
587,32,Paid,102,8419
588,42,Paid,91,6188
589,53,Paid,37,12469
590,25,Paid,14,14144
591,3,Late,35,8071
592,42,Paid,99,5178
593,51,Default,8,4540
594,7,Default,107,2918
595,49,Paid,98,3221
596,25,Paid,58,12841
597,23,Paid,108,1076
598,28,Paid,81,9960
599,12,Late,53,699
600,8,Default,16,7078
601,50,Paid,81,14184
602,35,Paid,3,10100
603,25,Late,111,11404
604,30,Paid,83,4324
605,32,Paid,12,5840
606,36,Paid,74,5159
607,32,Paid,114,4420
608,53,Late,42,3819
609,25,Paid,96,5690
610,26,Paid,91,5078
611,8,Paid,7,5251
612,5,Paid,106,8456
613,43,Paid,19,11637
614,2,Paid,81,10445
615,19,Paid,70,8696
616,3,Paid,60,2108
617,12,Default,43,4066
618,39,Paid,96,1448
619,32,Late,50,9710
620,6,Late,57,5859
621,55,Late,74,14598
622,8,Late,116,5810
623,59,Paid,118,5625
624,5,Paid,29,1842
625,13,Late,98,10638
626,31,Paid,108,10212
627,13,Paid,83,11689
628,54,Paid,100,1938
629,1,Late,9,4531
630,46,Late,93,6536
631,4,Late,17,1537
632,54,Paid,24,5827
633,20,Paid,95,501
634,29,Late,102,13189
635,32,Late,33,9221
636,33,Paid,43,7702
637,14,Late,117,5357
638,19,Paid,38,2629
639,51,Late,94,5388
640,3,Late,91,4054
641,52,Paid,89,1398
642,11,Paid,107,10201
643,9,Late,67,13356
644,57,Paid,42,14271
645,56,Paid,19,2345
646,51,Default,71,12291
647,28,Paid,1,3975
648,2,Paid,113,2680
649,13,Paid,113,7984
650,35,Late,26,6546
651,31,Late,33,3339
652,43,Paid,54,1758
653,14,Late,35,14963
654,15,Paid,84,4256
655,5,Late,71,9119
656,39,Paid,86,843
657,34,Late,106,9840
658,38,Paid,71,7747
659,43,Paid,68,4194
660,59,Late,103,3738
661,2,Paid,64,13583
662,45,Paid,84,12143
663,33,Paid,43,3182
664,27,Paid,42,14584
665,3,Paid,73,13504
666,52,Paid,65,5634
667,2,Paid,20,13916
668,51,Paid,60,8439
669,28,Paid,12,6145
670,54,Paid,107,13006
671,30,Paid,113,6013
672,41,Paid,117,11338
673,50,Paid,27,7000
674,23,Paid,29,9423
675,33,Late,81,2847
676,52,Paid,105,10560
677,14,Paid,1,663
678,14,Paid,57,13683
679,50,Paid,82,1966
680,13,Late,20,5267
681,4,Paid,89,5984
682,50,Late,45,12760
683,19,Paid,88,7732
684,24,Paid,82,10231
685,36,Paid,24,14449
686,6,Default,104,11508
687,12,Paid,56,5743
688,9,Paid,19,9925
689,13,Paid,5,6720
690,24,Paid,17,14344
691,46,Paid,48,7490
692,15,Paid,81,3228
693,46,Late,19,796
694,50,Default,102,3581
695,30,Paid,33,2664
696,32,Paid,9,10198
697,32,Paid,32,2423
698,34,Paid,114,2744
699,35,Paid,54,14495
700,18,Paid,18,10926
701,19,Paid,65,1177
702,50,Paid,46,11993
703,15,Paid,48,13067
704,22,Paid,66,12427
705,25,Late,29,14043
706,24,Paid,102,14598
707,6,Late,82,3687
708,36,Paid,84,12751
709,10,Paid,58,8094
710,12,Late,117,8254
711,5,Paid,107,6510
712,20,Paid,77,5194
713,37,Paid,30,2114
714,48,Paid,20,1096
715,18,Default,16,9815
716,47,Paid,52,7282
717,40,Paid,50,14720
718,33,Paid,23,4115
719,41,Paid,100,13565
720,12,Paid,39,11566
721,33,Paid,104,5409
722,5,Paid,97,10606
723,9,Paid,46,2323
724,33,Late,19,8100
725,30,Paid,15,11034
726,46,Paid,57,13282
727,17,Paid,48,5798
728,35,Paid,41,14467
729,16,Late,11,4890
730,40,Paid,40,5444
731,19,Paid,57,12503
732,47,Paid,59,11443
733,2,Paid,23,10403
734,6,Late,12,10253
735,42,Paid,33,6694
736,53,Late,60,11063
737,45,Late,26,1121
738,47,Paid,101,4103
739,11,Paid,84,6714
740,9,Late,116,651
741,27,Paid,66,10294
742,14,Paid,112,12982
743,35,Paid,13,13605
744,20,Paid,106,3433
745,59,Paid,101,13289
746,58,Paid,117,2563
747,32,Paid,100,4818
748,48,Paid,40,3220
749,8,Late,105,6849
750,11,Late,107,7148
751,2,Paid,56,7333
752,5,Paid,29,2919
753,30,Paid,44,4579
754,44,Paid,73,12364
755,41,Paid,0,8042
756,11,Late,102,5734
757,16,Paid,91,11757
758,25,Late,117,7029
759,42,Paid,108,1070
760,25,Late,82,13084
761,11,Paid,93,11954
762,1,Paid,83,4549
763,33,Paid,51,3889
764,1,Paid,19,8775
765,56,Paid,22,6773
766,52,Paid,94,873
767,47,Late,95,6848
768,9,Late,110,9339
769,27,Late,115,9974
770,38,Paid,89,9601
771,19,Paid,77,11082
772,40,Late,5,7995
773,17,Paid,32,1556
774,12,Late,7,8939
775,2,Paid,62,2190
776,8,Paid,3,2302
777,33,Paid,12,6484
778,13,Paid,34,12549
779,43,Paid,92,1103
780,21,Paid,88,14300
781,19,Paid,33,5453
782,34,Paid,55,5969
783,30,Late,10,12128
784,20,Default,37,5693
785,18,Paid,92,12445
786,21,Paid,44,9974
787,56,Paid,85,11539
788,36,Default,57,12311
789,7,Paid,117,11645
790,5,Paid,33,3784
791,9,Paid,109,4454
792,45,Paid,74,8234
793,18,Paid,91,3045
794,47,Paid,118,8122
795,50,Paid,71,524
796,1,Paid,23,1969
797,36,Late,73,9868
798,45,Late,78,12220
799,14,Paid,62,8187
800,8,Late,108,10792
801,53,Paid,102,13270
802,37,Paid,38,735
803,20,Paid,20,12239
804,31,Paid,99,14333
805,7,Paid,35,10305
806,58,Default,113,13136
807,56,Late,47,13940
808,41,Paid,83,8365
809,38,Late,118,12225
810,44,Late,12,7657
811,57,Paid,1,9479
812,43,Paid,110,3033
813,15,Paid,26,2339
814,49,Paid,6,4055
815,35,Late,104,4828
816,17,Paid,89,10811
817,27,Late,93,3313
818,21,Late,18,3865
819,40,Paid,39,10909
820,54,Paid,20,14063
821,44,Paid,57,12107
822,45,Late,25,506
823,26,Paid,73,10718
824,44,Paid,35,6584
825,5,Paid,43,12481
826,33,Paid,63,12732
827,49,Paid,26,9735
828,5,Paid,7,12301
829,28,Paid,89,13900
830,21,Paid,0,9191
831,8,Paid,22,11079
832,2,Paid,72,9771
833,55,Paid,30,14521
834,37,Paid,6,4338
835,14,Paid,8,11194
836,34,Paid,70,3799
837,53,Paid,91,9777
838,44,Late,97,12004
839,57,Late,52,1907
840,46,Paid,115,4017
841,37,Paid,15,5399
842,21,Paid,73,14599
843,27,Default,23,3041
844,50,Paid,73,8069
845,57,Paid,45,955
846,18,Paid,28,10254
847,48,Late,88,1874
848,5,Paid,104,8097
849,34,Paid,29,6940
850,18,Paid,50,12872
851,54,Paid,82,10279
852,58,Paid,116,8054
853,35,Paid,30,14125
854,26,Late,29,1869
855,29,Paid,33,11250
856,41,Paid,91,5358
857,28,Paid,115,7121
858,6,Paid,18,14732
859,26,Default,74,1643
860,58,Paid,27,5020
861,18,Paid,5,10942
862,30,Paid,16,1457
863,33,Paid,100,1308
864,32,Default,90,6873
865,50,Paid,106,10004
866,26,Paid,35,13527
867,22,Late,0,8729
868,34,Paid,15,11909
869,55,Paid,67,2985
870,55,Paid,46,9764
871,49,Paid,22,3888
872,12,Paid,95,1027
873,22,Paid,66,13384
874,21,Late,61,13599
875,24,Paid,107,10258
876,56,Default,84,10215
877,25,Late,87,5276
878,2,Paid,14,14437
879,59,Late,74,11736
880,1,Paid,66,14582
881,10,Paid,82,8274
882,54,Paid,42,4245
883,34,Default,7,10189
884,5,Late,114,4733
885,17,Default,97,9616
886,1,Paid,97,10905
887,14,Late,43,6848
888,21,Late,103,8280
889,6,Paid,101,3546
890,11,Late,25,8550
891,39,Paid,66,10881
892,59,Paid,31,13530
893,20,Paid,63,4324
894,20,Paid,42,8567
895,21,Paid,111,6560
896,54,Late,106,6607
897,24,Paid,73,8474
898,41,Paid,73,12477
899,55,Paid,61,2601
900,26,Paid,112,2701
901,3,Late,10,2773
902,38,Default,117,6928
903,41,Paid,77,14897
904,38,Late,94,14203
905,28,Paid,8,11418
906,59,Paid,47,14213
907,10,Paid,5,11924
908,24,Paid,112,5539
909,40,Paid,53,10464
910,52,Late,61,10787
911,48,Late,53,13173
912,7,Paid,98,748
913,23,Paid,97,8717
914,23,Paid,106,11908
915,24,Paid,55,5879
916,31,Paid,81,10748
917,50,Paid,86,3047
918,50,Paid,29,14077
919,47,Paid,2,10040
920,22,Paid,60,10649
921,27,Late,14,14628
922,38,Paid,100,8219
923,5,Late,106,10916
924,18,Paid,2,12233
925,8,Paid,14,9222
926,35,Paid,66,5656
927,48,Paid,28,7460
928,49,Late,30,14053
929,17,Default,70,4985
930,12,Late,70,1843
931,55,Late,54,1418
932,39,Late,74,6593
933,22,Paid,111,7186
934,54,Paid,91,8232
935,53,Paid,99,10772
936,6,Paid,42,7172
937,30,Paid,109,1076
938,2,Paid,103,7410
939,5,Paid,24,14783
940,2,Paid,80,7222
941,35,Paid,54,672
942,5,Paid,119,4683
943,31,Paid,49,732
944,17,Paid,37,7395
945,27,Late,59,6337
946,31,Paid,84,10776
947,51,Paid,51,5967
948,10,Paid,83,11022
949,12,Paid,73,14983
950,54,Paid,69,12226
951,18,Paid,75,7581
952,51,Paid,80,9612
953,13,Paid,44,3679
954,57,Paid,96,5689
955,8,Paid,99,2214
956,35,Paid,111,9825
957,55,Paid,18,10906
958,44,Paid,4,876
959,4,Late,108,12125
960,46,Paid,41,3601
961,7,Paid,92,7202
962,21,Paid,100,5282
963,45,Default,111,13861
964,44,Paid,29,11023
965,15,Paid,64,10514
966,34,Paid,75,12988
967,22,Paid,78,9967
968,1,Paid,4,3363
969,6,Paid,37,11445
970,1,Paid,10,6568
971,19,Paid,83,2594
972,27,Late,28,672
973,10,Paid,13,10933
974,55,Paid,89,8163
975,14,Paid,97,11370
976,34,Paid,73,10191
977,41,Paid,90,12119
978,32,Late,107,13322
979,3,Late,104,1415
980,51,Paid,104,11156
981,46,Paid,88,5849
982,16,Paid,9,13388
983,39,Paid,38,10787
984,33,Paid,59,13187
985,5,Late,95,12377
986,58,Paid,97,14833
987,35,Paid,22,994
988,17,Paid,96,5018
989,23,Paid,95,4730
990,26,Late,21,3231
991,46,Paid,85,10453
992,48,Late,116,14148
993,7,Late,86,11684
994,41,Late,82,603
995,7,Paid,22,4087
996,15,Paid,21,11520
997,30,Paid,61,14093
998,20,Paid,93,3968
999,3,Paid,18,10579
1000,22,Paid,21,3998
1001,48,Paid,0,6527
1002,54,Paid,33,2411
1003,50,Paid,25,6593
1004,7,Late,3,9800
1005,31,Paid,47,1812
1006,49,Paid,44,9014
1007,57,Paid,11,3322
1008,50,Late,91,7362
1009,3,Paid,36,14330
1010,54,Paid,2,8478
1011,43,Late,27,8355
1012,55,Paid,92,7373
1013,46,Paid,83,5261
1014,17,Paid,1,8767
1015,51,Paid,55,10158
1016,22,Default,100,5223
1017,52,Late,64,5291
1018,37,Paid,45,5984
1019,3,Paid,110,10805
1020,48,Late,99,3675
1021,30,Late,43,543
1022,24,Paid,105,10450
1023,33,Late,17,10670
1024,43,Paid,72,11608
1025,10,Paid,36,1941
1026,7,Late,53,9855
1027,16,Paid,24,3705
1028,32,Paid,104,10350
1029,2,Default,82,4059
1030,8,Paid,61,8915
1031,15,Paid,24,9303
1032,48,Late,51,4675
1033,3,Late,112,5488
1034,20,Paid,62,10124
1035,34,Paid,14,6097
1036,47,Paid,45,6171
1037,46,Paid,55,11472
1038,53,Late,113,2467
1039,41,Paid,25,5962
1040,4,Paid,109,3546
1041,23,Paid,63,1963
1042,8,Paid,19,1327
1043,10,Default,66,4703
1044,49,Paid,24,12900
1045,38,Paid,20,5794
1046,5,Paid,33,2415
1047,10,Late,115,4097
1048,26,Late,116,2392
1049,49,Late,101,2677
1050,16,Paid,87,8370
1051,57,Late,104,3352
1052,59,Paid,24,13624
1053,58,Paid,64,2649
1054,23,Paid,28,1761
1055,17,Paid,31,2825
1056,28,Paid,110,13600
1057,18,Paid,0,12773
1058,52,Paid,34,13783
1059,58,Late,55,2296
1060,41,Paid,15,10319
1061,11,Late,31,10274
1062,34,Paid,110,10570
1063,46,Paid,78,14389
1064,15,Paid,4,7643
1065,1,Late,9,12140
1066,33,Paid,85,8944
1067,9,Paid,106,2357
1068,44,Paid,71,10485
1069,17,Paid,78,12037
1070,15,Paid,19,3802
1071,4,Paid,88,12494
1072,37,Paid,11,1313
1073,46,Default,89,11448
1074,6,Default,67,11516
1075,6,Late,62,13441
1076,19,Paid,25,8247
1077,23,Paid,59,3252
1078,30,Paid,73,10011
1079,56,Paid,111,14850
1080,1,Late,60,11660
1081,9,Paid,14,10547
1082,22,Paid,4,6822
1083,1,Late,31,2195
1084,59,Paid,95,5842
1085,57,Paid,21,12189
1086,36,Paid,21,5834
1087,25,Paid,11,9348
1088,16,Paid,63,7025
1089,26,Paid,74,5269
1090,28,Paid,87,5560
1091,5,Paid,106,12834
