id,num_loans,num_defaults,total_loan_amount,total_repaid_amount,avg_dpd
212,8,3,389223,10213,46
213,7,1,13078,283346,25
214,2,3,112066,90553,24
215,3,0,483794,230545,35
216,4,0,131084,366283,20
217,3,3,143601,100004,57
218,1,0,278628,187354,42
219,8,0,244315,21925,22
220,1,2,424921,63372,64
221,4,0,481555,125430,58
222,8,2,446528,216610,60
223,7,1,63224,263078,73
224,0,3,415448,332510,88
225,2,0,365003,257961,85
226,9,2,306842,198117,71
227,8,2,18560,113798,63
228,2,3,358020,105197,32
229,3,2,229854,308986,75
230,2,0,421026,316045,47
231,6,2,146297,28257,38
232,8,2,20987,188342,11
233,3,1,373052,153921,75
234,8,0,272945,358044,10
235,1,3,156803,244453,47
236,1,2,165749,8581,7
237,8,2,342267,289893,50
238,6,0,354484,181042,7
239,4,0,32981,202837,79
240,4,2,243915,394664,81
241,8,0,276043,18017,84
242,3,3,34591,224241,67
243,0,0,276190,6886,70
244,5,3,121771,378850,35
245,2,3,438610,63480,29
246,1,0,430952,285137,89
247,3,3,489581,24499,11
248,8,0,424460,356330,74
249,7,0,385186,131289,28
250,6,2,395308,239391,2
251,1,2,194978,14498,61
252,0,1,145894,178766,10
253,6,1,159955,63698,72
254,9,0,16438,365721,89
255,4,3,143175,314328,58
256,7,0,368397,337470,71
257,4,2,421843,210871,84
258,9,1,172351,355556,71
259,4,0,448519,14503,41
260,7,3,329095,394218,5
261,8,3,380541,399493,54
262,1,0,114965,301217,81
263,7,1,185501,311412,5
264,6,1,144594,158639,20
265,7,0,176571,203647,43
266,2,3,464622,353068,47
267,3,1,35135,43886,86
268,6,1,306157,70682,35
269,4,1,13568,106269,81
270,6,2,198791,397978,44
271,5,0,220628,192243,2
272,3,1,114317,194910,58
273,1,1,98587,156248,11
274,5,0,467845,103519,83
275,5,2,145085,362065,18
276,5,3,295817,84313,22
277,0,3,318159,180406,4
278,5,0,197157,330482,50
279,1,1,484359,306285,18
280,9,1,363325,26210,11
281,4,3,425995,260372,56
282,6,3,330062,206755,36
283,9,0,489270,311361,33
284,0,2,20703,27695,79
285,4,0,11495,242764,62
286,8,0,53530,129623,3
287,2,0,182506,277509,53
288,1,2,467505,262669,53
289,9,0,145497,296630,5
290,1,0,197548,163981,6
291,2,0,56221,20847,33
292,0,1,432168,214986,67
293,1,2,256621,153072,14
294,5,1,187630,98448,12
295,7,1,20713,182060,72
296,3,3,33080,78074,36
297,1,0,170718,142560,80
298,4,1,196925,8759,37
299,2,0,399045,57779,77
300,4,0,397738,127031,30
301,2,0,157860,277348,65
302,3,1,92873,245612,82
303,4,3,150276,104539,82
304,6,2,486585,124423,59
305,1,3,148373,318662,12
306,5,0,496567,283711,20
307,5,3,61619,274839,43
308,5,3,456825,121480,27
309,6,3,66312,321452,56
310,2,2,131363,109871,0
311,4,3,197258,150377,9
312,8,2,336255,69405,7
313,8,1,252494,97358,76
314,6,3,14313,124877,62
315,8,0,128695,370526,82
316,2,1,34821,265380,66
317,6,2,429095,73050,66
318,0,2,436368,136995,26
319,6,3,18558,101601,17
320,2,2,97130,93385,34
321,2,3,158784,179162,43
322,6,0,130394,54371,7
323,7,0,233653,166853,84
324,3,1,297409,265496,45
325,0,2,309823,19243,82
326,4,0,405142,245514,42
327,9,2,282110,260349,45
328,3,0,483652,106629,39
329,8,1,283159,281578,55
330,2,3,56058,134115,26
331,3,3,137334,122162,19
332,9,2,87477,259057,77
333,2,0,67692,284202,56
334,2,1,109774,134800,11
335,6,1,352426,91031,22
336,4,3,332644,279969,11
337,4,0,148425,350305,43
338,3,1,85184,256535,38
339,9,0,78583,75353,41
340,7,2,414889,372203,47
341,0,1,416874,163476,87
342,8,2,189094,106280,66
343,8,3,188819,110623,34
344,4,3,53064,334793,36
345,0,0,287798,321446,39
346,1,2,213092,59382,15
347,1,3,57864,74091,47
348,5,3,415446,50242,17
349,9,1,122497,52916,17
350,8,1,324170,56030,13
351,2,1,343189,231893,75
352,7,1,117821,226518,41
353,1,0,376593,398028,1
354,4,2,255690,370880,52
355,3,0,490715,9376,89
356,4,1,48903,205994,86
357,3,2,176313,58359,59
358,0,3,403198,397368,34
359,0,1,416519,299586,63
360,5,2,45547,154225,32
361,7,2,120546,89756,40
362,6,1,339576,23592,62
363,3,0,284667,342106,88
364,4,1,160299,225817,3
365,7,2,27254,38148,20
366,5,0,374674,107641,3
367,7,0,425738,195227,55
368,5,0,331615,59783,78
369,7,0,111662,46028,3
370,3,2,143249,133970,3
371,9,2,162657,53896,2
372,1,1,32186,131426,54
373,2,2,367419,272829,68
374,4,1,210127,84818,82
375,3,3,305078,23794,31
376,4,2,385428,260684,57
377,0,1,280833,131460,72
378,0,0,469706,126587,66
379,1,0,284348,391805,33
380,1,2,279228,14023,62
381,7,3,189718,245721,88
382,9,0,34108,343997,9
383,3,1,234332,40202,31
384,5,1,311296,139859,4
385,1,0,212657,317892,28
386,0,0,378532,231561,6
387,6,0,29308,163963,14
388,3,3,493494,285152,1
389,3,3,24162,389300,9
390,1,2,282277,57119,10
391,8,1,40450,359194,52
392,1,2,230805,241588,55
393,4,2,202096,201542,39
394,5,1,96900,227900,57
395,2,1,200064,264581,84
396,2,1,184278,240736,75
397,5,2,255605,336709,67
398,4,3,194806,180398,76
399,4,1,71874,356587,81
400,4,0,169973,314621,26
401,8,3,114417,353056,2
402,7,3,199111,96196,38
403,3,3,107955,150507,21
404,5,3,330619,237736,80
405,4,1,266901,92902,60
406,5,2,113952,128894,37
407,7,0,8162,156506,15
408,5,0,54390,322471,68
409,5,2,225459,242284,85
410,1,2,492740,261091,16
411,6,3,143482,267144,60
412,2,1,12120,141185,74
413,6,0,162774,362402,85
414,4,3,281954,66620,43
415,3,3,435070,271753,43
416,9,1,328913,144513,40
417,0,0,200069,190121,54
418,7,2,430898,311803,2
419,1,3,348789,389365,12
420,9,0,54928,9564,76
421,7,0,51780,313390,50
422,6,3,90698,233649,53
423,2,0,266056,90438,17
424,6,1,347181,321391,39
425,0,0,252493,146465,80
426,4,1,401164,268008,9
427,1,3,176075,54468,40
428,1,0,250442,182406,43
429,2,1,481829,279151,87
430,6,1,343390,364346,7
431,1,0,81861,245923,35
432,3,3,132110,44709,55
433,3,2,284474,338681,13
434,0,2,484391,325861,28
435,6,0,52722,377513,6
436,3,0,435921,333772,88
437,0,2,142970,148266,41
438,2,3,409210,212838,29
439,7,1,137196,152127,73
440,3,2,96360,358128,46
441,0,3,217249,164119,33
442,6,2,259506,270693,61
443,7,3,202996,122659,15
444,4,2,395461,17509,73
445,8,3,324902,175453,28
446,6,3,487781,65042,14
447,3,3,157598,82789,50
448,8,1,205255,384793,55
449,5,3,349028,21074,87
450,7,2,54991,315455,41
451,1,3,170046,4597,19
452,4,3,128535,53466,46
453,2,0,145919,265721,63
454,4,3,370320,377035,1
455,7,3,445067,373812,31
456,5,0,382810,12090,53
457,0,1,87470,365072,41
458,6,3,472243,191582,29
459,9,0,63664,2610,8
460,0,3,338068,371558,18
461,0,1,296403,268440,5
462,3,2,180048,124097,71
463,8,3,90899,178032,57
464,7,2,280735,241651,0
465,9,0,349061,152488,12
466,2,3,187319,209950,5
467,5,0,250964,146210,28
468,0,2,282090,213175,65
469,9,3,459431,31286,73
470,0,2,488749,381829,30
471,5,0,280405,87166,71
472,4,1,6985,310205,40
473,5,1,211773,153464,38
474,8,1,115356,88937,56
475,4,0,299558,256303,27
476,1,1,289991,227501,30
477,0,3,263995,129503,12
478,1,1,172586,104172,70
479,7,2,274455,258556,50
480,0,3,121391,226683,64
481,5,2,486369,277842,44
482,4,2,476589,349129,52
483,9,2,451392,347973,56
484,8,2,363146,36534,25
485,3,3,16428,210370,15
486,4,0,57835,379440,11
487,4,3,144237,248450,15
488,1,1,39561,304873,53
489,1,1,338781,263371,51
490,8,0,354442,273730,88
491,2,1,362991,34575,82
492,5,3,440886,116235,70
493,3,1,330225,13263,75
494,3,1,125942,328622,23
495,4,2,234209,6516,57
496,4,3,108962,305996,38
497,6,2,27462,313019,68
498,6,0,377261,344701,0
499,0,3,300595,60665,70
500,5,2,257935,214106,89
501,3,3,103326,27826,87
502,1,1,59917,310058,60
503,5,0,63776,335131,47
504,6,1,323010,194733,61
505,1,1,15680,27318,80
506,1,3,163777,225144,3
507,9,0,318087,197565,79
508,6,3,224023,210790,68
509,8,1,162465,229280,68
510,2,0,135035,177335,51
511,2,0,468534,189693,45
512,7,1,475111,144984,16
513,1,3,352559,66674,84
514,8,1,452634,385308,29
515,6,1,148821,355635,48
516,7,1,127874,63631,50
517,8,3,476668,110090,32
518,2,0,202359,59410,86
519,5,2,78131,232212,57
520,7,1,205034,339808,38
521,0,0,357921,370320,70
522,5,2,242875,77607,36
523,2,0,380204,267510,70
524,7,3,121556,18449,14
525,8,2,292022,390818,60
526,4,2,300623,27196,9
527,1,2,415125,352747,19
528,6,1,176161,47406,8
529,5,2,213942,259332,69
530,5,3,423551,22416,19
531,0,3,271845,176075,63
532,0,2,187770,102630,84
533,5,0,422511,130217,6
534,5,1,357361,187448,63
535,3,0,160532,196722,47
536,7,1,157291,206529,46
537,8,1,71442,218843,63
538,5,3,453669,140121,66
539,9,1,244986,328156,44
540,7,2,116383,24654,16
541,7,1,240764,219655,50
542,1,3,106969,239961,42
543,3,3,305566,347966,65
544,0,1,232444,33818,75
545,0,1,390093,352469,12
546,5,1,466677,287759,75
547,6,0,230265,23406,26
548,4,2,128978,124648,89
549,7,1,414734,315264,46
550,8,2,258870,7366,39
551,3,3,5736,42477,68
552,0,2,487169,74691,31
553,5,1,406545,341574,44
554,0,3,498396,248779,79
555,1,1,110160,253175,73
556,3,2,238334,57725,36
557,3,2,55589,97401,14
558,5,0,26935,212377,74
559,7,2,56439,87244,8
560,2,3,273824,325326,81
561,5,1,496736,104984,54
562,2,2,122616,161197,8
563,1,1,397983,370914,63
564,3,0,188307,21873,40
565,3,1,93570,24846,14
566,1,1,126249,187937,35
567,2,2,365834,252590,35
568,8,2,370701,305428,64
569,9,1,338114,245450,27
570,8,0,300834,292867,32
571,9,3,476634,280128,64
572,6,3,409295,229424,53
573,1,3,258987,297708,5
574,4,3,423620,79876,74
575,7,1,162283,194258,47
576,0,1,16729,98590,68
577,0,1,181838,64544,73
578,5,1,330623,370134,27
579,6,0,401480,63596,15
580,6,1,102668,119663,25
581,2,1,142897,363642,49
582,9,1,157717,316291,53
583,3,2,175231,166571,77
584,8,3,354707,197179,12
585,9,2,362074,111129,64
586,3,0,106761,380733,34
587,4,0,425621,300339,78
588,5,3,164042,285096,28
589,6,3,265722,116463,30
590,4,1,320234,17825,11
591,6,3,424824,298960,68
592,1,0,217237,1410,31
593,6,1,476969,60604,9
594,4,0,43700,9300,4
595,9,2,264465,194056,26
596,4,1,196367,217165,38
597,5,1,391716,128661,20
598,8,2,355268,212364,15
599,3,0,310077,137940,28
600,4,3,491310,140150,78
601,4,1,81797,383658,70
602,2,3,88744,77187,81
603,2,2,433950,395942,82
604,0,0,273615,20549,80
605,3,0,98054,394699,13
606,8,0,89135,384746,40
607,1,3,449773,51491,73
608,9,3,444830,285729,88
609,3,3,294850,394822,40
610,8,3,102713,241005,43
611,8,1,188139,171770,72
612,7,3,375487,223653,15
613,1,2,284210,262124,23
614,2,1,168710,144094,20
615,5,0,256987,391576,58
616,1,3,146559,107930,38
617,2,3,304833,316514,70
618,0,1,371063,282589,6
619,3,0,319365,38489,27
620,5,0,402183,18335,50
621,0,2,246035,134878,34
622,0,1,423723,304979,57
623,7,2,81744,48121,9
624,6,1,499048,104084,37
625,6,1,390669,228838,31
626,6,1,45223,66251,61
627,4,0,304200,310491,87
628,3,2,199235,291824,49
629,6,2,275835,274753,40
630,2,3,148511,216937,46
631,8,2,374308,300129,1
632,1,3,215439,336212,41
633,0,3,189894,74029,3
634,7,0,92576,32571,0
635,5,3,72574,298799,21
636,3,1,281636,10324,10
637,9,1,265282,282411,10
638,8,0,169156,163648,13
639,4,1,138719,378977,86
640,0,1,264708,261370,72
641,0,2,440162,188684,58
642,6,0,477306,163653,17
643,0,1,76193,111042,60
644,5,0,412635,305863,23
645,6,0,33867,151546,26
646,9,1,192669,92864,34
647,4,1,247822,373120,67
648,2,3,387904,157724,21
649,2,0,305861,116679,10
650,1,0,271617,98764,70
651,0,1,236541,332166,57
652,7,3,56089,190987,75
653,8,2,152209,124521,3
654,1,1,41638,38542,65
655,3,3,486305,96474,64
656,2,0,377406,312008,17
657,3,0,156790,332563,58
658,3,1,159732,37954,22
659,7,3,403425,129345,3
660,2,1,40608,58128,52
661,2,0,285183,102497,82
662,5,3,78395,77134,39
663,2,3,42905,39752,39
664,4,0,22047,21261,50
665,3,0,398717,201649,8
666,3,2,190998,87538,22
667,1,2,318215,378642,12
668,8,0,290447,172494,0
669,4,3,197042,191055,75
670,4,0,349280,380736,9
671,6,1,343914,233150,26
672,2,0,93087,87020,18
673,5,3,190837,137857,21
674,0,2,436865,180921,88
675,4,0,419695,171783,10
676,4,2,421116,5398,74
677,8,1,65005,330655,89
678,4,3,280924,224188,15
679,7,2,414077,146497,28
680,2,1,92872,339481,29
681,5,3,27041,286026,10
682,1,3,472273,22433,56
683,8,2,290849,71750,64
684,5,2,87855,369206,5
685,4,2,283285,284318,76
686,8,3,257320,214817,34
687,0,3,112960,153564,58
688,2,3,259374,66351,13
689,1,2,174600,340964,42
690,8,2,425445,17813,45
691,5,1,217004,299825,21
692,5,0,401561,285332,59
693,4,1,120869,299633,84
694,3,0,317986,35149,1
695,3,1,75331,229049,68
696,1,2,385336,133827,14
697,6,3,222200,359171,49
698,5,0,79668,195551,83
699,2,3,318076,261627,89
700,6,0,438763,284128,55
701,8,3,182684,377133,62
702,9,1,41277,375056,87
703,0,3,457560,252247,34
704,9,0,152473,100722,87
705,7,2,314409,327685,25
706,1,0,266524,84872,85
707,0,3,166227,396246,26
708,8,1,119846,224918,18
709,1,0,350097,214970,36
710,6,1,83696,318449,35
711,6,2,21374,301818,39
712,0,1,338561,246000,62
713,9,1,280470,200228,38
714,0,0,153020,36341,11
715,6,1,472642,117993,43
716,5,1,49086,80253,79
717,3,1,314161,216340,47
718,2,3,49187,90875,78
719,4,1,210689,317441,32
720,4,1,275726,186786,78
721,2,1,306194,186334,31
722,5,0,395556,225195,21
723,2,0,444969,344078,5
724,3,1,126715,387710,29
725,2,1,417409,286903,16
726,5,3,302084,27264,1
727,8,1,254459,54875,79
728,2,2,496357,378212,54
729,0,1,253026,256882,11
730,6,0,279712,240384,11
731,4,0,425279,252806,50
732,3,1,406135,276629,47
733,2,0,224237,128642,38
734,6,3,499631,327499,80
735,1,0,425310,149594,69
736,3,2,383231,23830,89
737,1,1,51684,50293,0
738,9,0,251974,97022,15
739,7,0,422654,300535,45
740,2,1,335161,137339,62
741,4,0,465810,149980,58
742,3,2,371267,342378,46
743,4,1,135751,26628,15
744,3,0,239741,138475,45
745,7,3,109579,259161,79
746,5,3,339307,68591,38
747,0,1,136486,332055,49
748,4,0,454865,81126,48
749,0,3,315069,359483,25
750,2,2,164567,391139,32
751,5,0,435647,37142,19
752,8,2,168700,78598,76
753,2,3,343781,269383,71
754,3,1,105706,144481,81
755,9,2,235955,218313,40
756,0,3,178776,340996,10
757,9,1,29836,255539,54
758,1,0,28119,387371,46
759,6,3,222667,186648,77
760,7,3,430608,82083,49
761,0,0,110475,26650,22
762,8,0,60636,35312,60
763,5,0,448337,371820,6
764,0,1,363004,102562,14
765,3,1,5094,352424,78
766,3,0,475736,53307,8
767,6,1,10230,378727,84
768,0,3,385913,104817,36
769,9,1,328909,300992,58
770,8,3,59493,193174,27
771,0,3,77974,133598,5
772,9,1,276210,99907,9
773,2,0,131387,34853,14
774,0,2,114214,83062,87
775,0,2,312293,389436,3
776,3,1,460652,305489,57
777,1,3,439511,230282,14
778,8,2,102067,76249,36
779,0,3,424316,137306,1
780,2,3,218155,183132,46
781,1,3,360197,317772,27
782,0,3,108809,256369,68
783,8,2,460023,217567,86
784,4,1,282799,220727,72
785,5,1,210118,195451,70
786,7,3,284806,198361,67
787,6,3,105158,245076,18
788,6,1,440984,287302,7
789,8,0,363888,295028,30
790,2,3,327431,128063,13
791,9,2,104747,248020,28
792,7,2,363303,100837,8
793,5,3,74301,297506,69
794,7,3,480322,4920,59
795,3,1,445344,69782,44
796,0,0,135892,150051,73
797,2,1,11285,233675,53
798,9,0,54579,90335,44
799,2,2,104451,266079,2
800,0,1,304032,292875,75
801,4,1,252586,303412,35
802,5,3,460132,1098,10
803,8,3,421590,278572,72
804,7,2,139830,62580,5
805,3,0,477494,289455,75
806,5,0,149615,104690,40
807,2,2,137752,56303,71
808,0,0,282848,379429,40
809,8,3,485278,114803,76
810,7,2,68469,226162,61
811,5,3,107111,377218,8
812,2,2,262246,184116,83
813,4,2,251742,23412,9
814,8,0,276589,328528,40
815,6,1,357272,386877,26
816,1,2,444580,129171,52
817,5,0,484233,141119,3
818,8,2,210066,348143,9
819,9,0,371095,290732,48
820,0,2,279354,355666,18
821,4,0,359128,93535,73
822,8,2,100764,184871,49
823,2,2,390274,136045,47
824,2,2,369820,235822,22
825,9,0,313229,134045,8
826,8,1,469685,353759,65
827,2,2,272500,289477,18
828,8,0,450974,341046,71
829,9,3,64193,295436,89
830,2,0,129600,158623,50
831,7,0,338756,115600,10
832,9,1,220263,124539,2
833,8,3,49582,87110,60
834,2,3,300852,146860,81
835,0,1,110957,188705,16
836,8,1,180516,231052,72
837,6,2,182182,145130,29
838,5,2,144736,98868,79
839,3,0,480649,302642,7
840,4,0,75997,38597,40
841,6,2,392236,393392,25
842,8,3,79027,366789,4
843,5,0,372566,110148,68
844,3,0,417101,96781,23
845,3,1,15878,351637,77
846,9,2,246470,20689,68
847,2,1,221953,394336,35
848,1,0,40296,17025,88
849,3,2,236498,4450,16
850,5,3,23740,256543,69
851,0,3,9171,392779,70
852,1,1,213855,307310,45
853,7,2,359690,274267,78
854,2,0,69861,65547,69
855,0,3,442522,228533,31
856,1,3,143540,29122,59
857,2,3,163652,26369,41
858,1,0,499314,57915,39
859,3,0,151486,279498,26
860,3,3,393806,286785,4
861,9,2,476499,307500,60
862,1,2,430969,336119,60
863,0,1,162212,199730,79
864,2,2,158391,230216,51
865,3,1,473807,283760,74
866,5,1,394780,265452,88
867,4,3,68800,233659,65
868,1,1,392340,351071,6
869,3,2,216098,127506,37
870,5,2,104523,89673,50
871,3,2,191847,206597,0
872,6,3,64223,355889,81
873,5,1,493895,295527,75
874,5,0,401392,12748,48
875,9,1,105104,379399,71
876,1,1,108497,316607,19
877,6,3,407506,317176,41
878,8,1,112616,41938,15
879,5,2,28792,314497,32
880,7,1,149774,235532,88
881,5,3,90642,242321,82
882,5,1,389108,22816,15
883,3,3,254883,218099,15
884,5,3,344045,303304,47
885,9,3,82942,199810,88
886,3,1,475042,214510,54
887,9,0,13873,312531,27
888,5,3,494119,120845,72
889,0,3,34837,351127,81
890,6,2,57377,38161,22
891,1,3,381299,182491,29
892,5,1,390785,380002,60
893,8,1,308286,10707,87
894,9,0,77906,377474,74
895,2,2,116686,90993,25
896,3,3,146494,142609,10
897,4,1,13364,240545,19
898,7,2,343461,319314,43
899,9,1,64201,145424,17
900,5,3,390378,174320,33
901,7,1,56353,233555,3
902,2,2,421344,366793,84
903,2,0,179464,198805,89
904,8,3,226916,28752,13
905,5,1,145183,348996,89
906,7,2,227518,7481,12
907,3,1,29421,191133,89
908,4,1,185032,395844,40
909,8,0,313248,123486,78
910,6,0,485353,210016,56
911,4,3,394673,82082,86
912,6,3,305331,98036,21
913,8,3,262092,85821,9
914,2,3,390384,271879,68
915,2,2,158483,222607,67
916,3,3,380559,348481,49
917,9,3,308977,376902,15
918,6,1,112582,320442,10
919,4,1,284245,77905,67
920,4,2,454171,97117,86
921,3,1,146806,198601,66
922,7,1,443695,326294,19
923,2,2,190160,14168,64
924,1,0,128134,240099,32
925,3,1,205964,97581,9
926,7,0,454664,70962,66
927,3,0,333202,332195,54
928,7,0,166781,399869,31
929,4,2,216365,379764,44
930,8,3,174488,231287,58
931,1,2,24011,193217,30
932,7,2,79143,326205,84
933,6,3,24460,276497,87
934,1,0,104221,160372,87
935,4,3,111701,62374,51
936,5,0,290140,384647,9
937,8,3,484988,310526,5
938,7,0,128146,220295,0
939,6,1,181878,106317,45
940,0,0,326254,17539,73
941,9,3,146027,171727,29
942,2,1,358765,242049,78
943,0,0,153009,393413,77
944,9,1,42350,175067,62
945,5,1,12970,123241,87
946,2,2,209366,237274,62
947,1,3,376258,81229,73
948,9,2,228860,248457,89
949,1,3,52864,224857,0
950,7,0,257975,173909,19
951,0,2,475740,121229,28
952,8,1,17034,347379,33
953,6,2,487327,382844,65
954,0,2,170238,346178,65
955,4,1,178803,51471,1
956,4,3,61004,372650,71
957,1,0,205036,394572,53
958,0,0,128936,192408,88
959,6,1,455007,191361,17
960,8,3,390861,291099,80
961,7,3,445494,335845,29
962,6,2,138684,386341,7
963,3,0,261684,47957,41
964,9,3,30542,174372,28
965,6,1,121209,347963,50
966,7,0,196186,296931,82
967,8,1,331968,269589,23
968,8,3,303708,177711,81
969,4,2,18509,376402,9
970,4,0,307887,141251,15
971,5,3,423813,354692,49
972,7,3,405386,34841,40
973,2,1,483256,9552,53
974,2,0,286613,79337,43
975,4,3,258820,167847,59
976,0,2,282907,381405,68
977,4,0,33365,283085,78
978,8,1,278601,313165,22
979,4,2,212640,361106,70
980,6,3,310064,195774,19
981,9,3,480382,171121,38
982,8,3,65990,280404,2
983,7,3,62775,184988,2
984,4,1,377993,128835,30
985,1,2,325022,94906,6
986,4,0,224243,330499,0
987,9,3,25655,240999,55
988,7,2,103772,292294,26
989,0,2,434942,66537,64
990,9,2,449942,289412,69
991,3,2,50874,399131,83
992,0,1,140319,221668,38
993,4,2,26779,248949,2
994,1,1,214719,269315,58
