id,bureau_score,num_of_accounts,num_of_open_accounts,total_debt,delinquent_accounts
190,617,5,3,78942,2
191,763,11,1,99034,1
192,731,5,4,145525,0
193,434,2,3,60006,3
194,802,6,7,161637,3
195,568,2,3,2280,0
196,736,10,1,195735,2
197,797,5,7,84538,2
198,850,11,7,30834,0
199,639,5,3,193630,0
200,541,4,5,189030,2
201,520,5,1,18985,0
202,660,7,5,134378,2
203,489,10,1,139894,0
204,712,2,6,160475,2
205,628,1,5,113488,1
206,521,4,7,190631,2
207,391,7,1,1942,2
208,739,1,4,37699,3
209,405,4,6,158853,2
210,544,6,6,37517,0
211,604,6,6,71276,4
212,854,1,1,148445,0
213,897,7,4,180723,3
214,396,5,2,144491,0
215,776,6,6,83327,1
216,565,1,2,52195,4
217,874,7,1,71808,4
218,402,4,6,75294,3
219,553,3,4,81639,4
220,754,11,4,55909,2
221,812,4,6,179221,3
222,792,9,7,145045,1
223,560,5,3,45330,4
224,334,5,3,166819,4
225,680,8,6,93064,3
226,696,7,7,154620,4
227,326,3,5,152294,4
228,605,1,3,106444,1
229,880,11,1,145548,1
230,464,2,3,199923,3
231,557,3,3,107596,4
232,401,11,7,5756,0
233,754,1,1,40564,3
234,492,1,1,80850,1
235,598,8,7,45404,0
236,320,8,5,197640,4
237,344,2,4,54483,3
238,779,8,3,146605,3
239,795,11,6,128482,1
240,522,2,6,188114,2
241,598,11,2,17541,2
242,780,5,4,61452,2
243,323,1,1,22329,3
244,637,9,6,126071,1
245,383,4,7,119316,1
246,359,10,3,53934,2
247,587,11,5,185045,0
248,816,2,7,20072,2
249,453,1,2,26268,3
250,580,6,4,124931,0
251,733,11,3,104348,1
252,641,8,1,29459,4
253,385,4,4,129578,0
254,886,1,7,175954,1
255,490,1,7,196827,0
256,551,6,2,8846,2
257,367,2,1,170225,0
258,445,5,2,101402,0
259,853,2,3,52308,0
260,873,9,4,131445,3
261,554,2,5,137526,3
262,430,5,7,97236,2
263,676,4,3,35895,4
264,831,11,6,30678,3
265,498,1,3,112023,4
266,520,10,5,55752,3
267,709,9,5,57183,1
268,470,3,6,8762,1
269,444,10,6,152653,0
270,787,8,1,5426,4
271,653,4,2,68010,0
272,480,11,3,14051,0
273,460,9,1,138061,3
274,763,5,6,193935,3
275,359,2,1,10240,0
276,514,8,3,196128,3
277,879,4,2,50567,1
278,491,2,5,128277,1
279,787,6,3,96331,4
280,524,1,2,39275,1
281,691,8,5,117854,0
282,460,9,7,6782,2
283,754,7,7,178743,3
284,410,9,7,157309,0
285,358,2,4,13646,3
286,844,11,3,50440,4
287,852,1,7,101904,0
288,328,7,6,146404,0
289,484,4,3,163231,0
290,523,10,6,58918,4
291,656,8,2,165556,0
292,791,3,1,86332,3
293,897,7,1,71859,2
294,877,7,2,160670,0
295,413,11,3,52545,4
296,677,10,3,87000,4
297,584,9,6,143326,0
298,396,11,3,51164,4
299,423,4,4,163624,1
300,455,10,6,121936,4
301,409,1,1,36128,2
302,352,7,7,93245,1
303,473,10,4,199554,3
304,887,6,3,4512,1
305,613,11,7,74654,2
306,689,1,1,121287,1
307,344,9,7,67887,0
308,416,10,6,180450,4
309,421,8,3,114121,0
310,781,10,6,151531,0
311,469,4,3,21288,0
312,699,5,2,123548,1
313,799,8,1,11539,3
314,373,2,3,142917,4
315,448,6,5,47870,1
316,836,10,5,77702,0
317,360,2,7,14467,2
318,353,11,7,47436,2
319,522,8,6,154103,0
320,772,5,3,192112,3
321,615,10,7,47943,4
322,469,3,2,24116,1
323,331,2,6,185240,3
324,352,4,3,145090,2
325,438,8,7,147812,0
326,673,1,7,110790,1
327,346,10,5,152392,3
328,389,3,1,165884,3
329,335,1,7,135511,3
330,524,2,2,17696,1
331,853,10,3,16948,4
332,568,11,7,199498,1
333,485,7,5,61962,0
334,670,1,7,87141,1
335,534,9,7,13192,3
336,421,8,1,24362,4
337,723,1,5,26071,4
338,688,10,6,124860,0
339,416,1,2,186063,0
340,765,2,6,129598,2
341,728,2,4,186019,2
342,741,6,3,199636,2
343,338,1,6,158740,1
344,461,4,1,82226,4
345,825,7,2,96118,0
346,465,9,7,134979,2
347,744,10,7,99275,0
348,742,3,2,69679,2
349,630,4,7,75455,1
350,634,5,7,128073,1
351,411,5,4,88310,3
352,438,2,4,8574,0
353,465,5,3,141378,3
354,713,10,6,199285,1
355,468,1,3,35811,1
356,423,7,6,126044,0
357,849,5,6,139753,3
358,397,6,7,163786,3
359,359,9,2,178493,3
360,318,3,6,136925,0
361,423,1,3,93955,0
362,525,8,3,28462,0
363,623,2,4,63165,4
364,316,2,2,123986,1
365,379,10,5,7599,4
366,896,4,5,161518,4
367,755,5,1,134413,1
368,840,1,4,56471,2
369,677,11,1,46012,2
370,490,3,2,192997,2
371,790,11,7,116938,0
372,704,8,5,28217,0
373,571,6,7,89392,3
374,729,3,5,8408,3
375,819,7,5,36841,4
376,683,11,1,153826,3
377,491,6,7,170385,0
378,734,5,3,123960,4
379,362,8,1,110031,3
380,515,8,7,198523,3
381,433,3,5,83181,2
382,460,8,4,170354,0
383,557,10,4,48812,4
384,724,9,6,119007,1
385,827,10,7,129329,3
386,657,3,1,58302,0
387,674,11,6,71439,4
388,870,8,6,129895,0
389,308,8,1,46603,0
390,496,7,6,52814,4
391,416,8,2,122646,2
392,309,1,1,171081,2
393,818,3,6,35740,3
394,648,6,6,167014,2
395,703,7,1,182551,3
396,874,7,5,22274,3
397,303,11,6,160533,4
398,627,6,3,106026,0
399,811,11,5,63842,1
400,429,4,3,10031,1
401,886,5,5,45796,2
402,783,9,7,94425,4
403,657,1,5,94760,1
404,684,2,2,56878,0
405,553,5,6,17931,3
406,466,5,7,46122,3
407,768,7,3,63121,4
408,792,8,5,195010,2
409,637,10,5,60970,0
410,350,6,3,39320,2
411,355,6,7,59669,2
412,372,5,2,168631,4
413,899,5,3,85791,3
414,351,11,2,106846,2
415,424,8,7,1574,2
416,561,5,2,133173,0
417,874,6,4,18759,3
418,847,3,2,96038,2
419,820,5,4,39002,1
420,629,9,6,86868,1
421,622,3,1,80352,3
422,540,8,2,180353,3
423,584,11,3,15319,4
424,563,7,4,112126,2
425,598,4,7,87384,1
426,504,5,7,170685,1
427,590,8,1,168571,3
428,510,10,6,24909,3
429,665,7,1,152853,0
430,763,10,2,187014,0
431,621,10,3,175386,3
432,657,2,2,4750,0
433,393,8,5,184358,3
434,468,8,1,120294,3
435,596,9,5,94177,4
436,815,2,5,149342,0
437,397,4,4,144071,2
438,649,2,7,193200,2
439,878,4,5,32106,4
440,700,3,1,87810,2
441,750,7,1,106306,2
442,774,5,3,23985,4
443,718,7,2,121655,1
444,303,2,3,6527,4
445,623,4,3,123582,4
446,668,6,7,187120,0
447,694,5,2,151913,2
448,855,11,1,156013,2
449,418,2,4,37066,1
450,489,7,7,188726,4
451,715,2,5,177404,3
452,405,9,4,179019,1
453,464,7,5,186500,1
454,645,3,2,109556,2
455,397,6,2,51678,2
456,785,5,3,179372,2
457,630,9,6,112206,2
458,669,3,6,47249,1
459,741,2,2,68692,4
460,419,2,5,77151,2
461,598,4,6,3794,0
462,442,1,4,103547,1
463,392,9,7,49128,3
464,596,3,4,89615,3
465,746,5,4,73428,4
466,779,2,6,136163,1
467,557,8,7,126958,1
468,821,11,4,151690,1
469,674,11,3,163593,0
470,726,3,6,92569,0
471,400,5,4,167212,2
472,543,7,5,11396,3
473,322,2,3,163929,0
474,653,3,7,99415,3
475,765,8,3,167874,1
476,524,10,6,39342,0
477,743,8,3,72424,3
478,568,3,2,75824,0
479,832,10,3,189398,1
480,613,7,5,106664,1
481,419,11,7,26872,1
482,780,2,6,22215,2
483,419,9,6,5968,3
484,435,8,4,95198,2
485,376,9,7,42053,4
486,653,9,2,151222,4
487,357,7,4,132739,0
488,385,4,1,123611,0
489,300,5,2,165354,0
490,376,7,7,126956,2
491,821,5,5,169129,1
492,743,10,2,194445,0
493,880,8,3,165651,0
494,447,5,2,180408,4
495,873,5,3,23091,1
496,824,5,4,187073,2
497,485,4,2,23456,1
498,821,11,2,182744,4
499,461,11,5,137821,2
500,589,7,1,149934,3
501,720,2,2,127743,0
502,495,10,4,180279,2
503,333,4,3,117689,4
504,896,11,4,157679,1
505,869,3,7,52290,2
506,707,10,6,193857,4
507,596,8,6,69605,2
508,836,7,5,50502,0
509,335,3,6,128185,1
510,563,4,2,150761,1
511,681,4,7,90128,2
512,413,10,1,89790,4
513,742,7,1,186015,0
514,462,8,2,113943,0
515,337,4,1,166104,2
516,391,8,4,64081,3
517,400,1,3,117245,2
518,806,9,2,56540,0
519,478,7,6,108281,1
520,583,4,3,7734,2
521,654,8,1,31632,2
522,596,10,5,86826,1
523,834,2,7,81175,2
524,787,8,3,47614,4
525,578,10,7,111702,1
526,843,6,7,53585,1
527,892,7,5,11499,1
528,654,7,4,198273,0
529,618,2,5,124440,2
530,494,11,3,70193,3
531,392,2,3,180413,2
532,732,4,2,63341,2
533,857,6,6,113829,0
534,326,4,5,80488,4
535,714,6,4,162258,4
536,461,5,2,73439,0
537,400,6,2,104603,0
538,772,9,4,51694,0
539,457,6,2,148287,2
540,791,6,4,118827,0
541,308,11,1,134992,3
542,511,11,2,165494,1
543,738,8,3,138400,4
544,410,5,1,191191,3
545,502,5,2,28798,4
546,364,10,4,122421,2
547,460,11,1,129474,2
548,713,1,6,37579,0
549,565,6,1,196318,4
550,871,1,3,99172,2
551,504,11,2,80973,2
552,883,8,2,61554,4
553,455,10,4,49515,2
554,472,9,1,138183,0
555,607,6,3,11919,2
556,749,9,4,84001,3
557,361,2,6,56926,3
558,672,9,4,78911,0
559,759,4,3,28617,3
560,774,3,2,71899,2
561,680,1,3,194602,3
562,871,1,2,135273,3
563,385,8,5,7998,2
564,442,2,1,158735,4
565,306,1,3,39099,0
566,594,2,6,124959,4
567,818,3,6,110255,4
568,825,4,7,148746,3
569,333,11,4,139032,1
570,628,9,2,39506,4
571,333,7,1,69959,2
572,705,5,6,131169,2
573,317,5,1,77894,2
574,729,6,3,135571,1
575,727,1,4,156629,1
576,592,6,6,177926,0
577,879,11,3,22952,1
578,379,6,4,83833,0
579,385,11,5,21823,2
580,871,5,3,88587,1
581,347,10,7,33701,3
582,383,9,2,66436,3
583,607,10,3,90816,3
584,551,10,3,21374,1
585,780,5,6,65541,1
586,479,9,7,174008,1
587,895,10,5,192742,3
588,609,7,6,158740,2
589,725,3,5,133272,4
590,785,11,6,90309,2
591,338,9,3,150104,1
592,578,10,4,66657,4
593,675,7,5,70906,4
594,340,4,5,108455,2
595,346,9,4,196460,3
596,783,6,1,135887,0
597,484,9,7,38175,3
598,371,4,5,179593,3
599,868,10,5,196320,4
600,873,2,4,18736,1
601,641,9,4,88142,1
602,868,10,3,198295,4
603,542,4,7,131795,3
604,627,11,3,27905,2
605,452,2,1,145628,0
606,554,7,1,145516,3
607,723,7,1,51007,3
608,531,5,2,48774,0
609,828,5,4,146175,2
610,891,8,5,132093,0
611,795,6,4,148045,4
612,475,1,4,41085,0
613,850,11,1,150460,0
614,442,4,4,138784,3
615,316,1,2,56965,3
616,548,5,6,144216,1
617,334,5,5,29462,0
618,445,4,6,34737,4
619,464,9,1,31684,1
620,410,8,7,9536,0
621,373,10,3,92841,3
622,653,3,7,90997,4
623,573,5,7,4331,2
624,578,6,6,70831,1
625,330,5,5,56300,3
626,825,8,6,89363,2
627,834,5,3,82498,0
628,809,8,3,111103,4
629,813,10,4,187090,3
630,477,10,5,81609,3
631,628,3,2,181763,4
632,870,5,4,55423,3
633,471,4,3,48999,3
634,695,11,6,142557,0
635,894,6,5,109556,1
636,334,3,4,145337,2
637,596,10,5,68024,4
638,768,4,6,165125,2
639,794,11,1,6733,4
640,534,4,2,56634,4
641,338,5,2,182461,3
642,518,11,2,114584,0
643,516,6,3,83032,4
644,719,2,3,138998,2
645,473,10,2,44766,1
646,412,8,5,116741,2
647,473,4,1,2563,0
648,373,7,3,82363,1
649,835,7,6,113003,3
650,331,10,4,80427,2
651,553,11,4,25932,2
652,796,11,3,87474,4
653,412,2,2,147658,4
654,494,7,5,15026,1
655,827,1,1,167460,3
656,740,2,4,143526,4
657,788,5,3,122857,2
658,796,8,5,38171,1
659,323,7,2,22043,4
660,589,3,1,18422,4
661,607,10,1,155023,0
662,603,9,4,29443,1
663,337,5,7,143814,1
664,685,3,4,30791,3
665,880,7,6,128585,4
666,381,4,3,82974,1
667,417,1,7,58265,3
668,349,5,1,26877,4
669,373,11,2,112004,2
670,405,8,2,172252,0
671,898,4,7,144175,3
672,625,7,3,106429,0
673,655,8,1,70003,2
674,767,9,4,2494,1
675,583,11,6,37901,4
676,484,9,2,87785,1
677,453,5,5,180339,0
678,417,6,3,50334,1
679,566,7,2,35004,1
680,684,10,5,144499,3
681,554,2,7,173652,3
682,540,9,5,49606,2
683,470,1,2,59888,3
684,847,6,3,66770,3
685,877,6,5,1072,3
686,484,7,5,95679,3
687,709,2,1,23151,2
688,887,6,6,199397,3
689,445,6,6,58971,3
690,337,9,6,168863,0
691,789,8,1,192082,3
692,561,5,6,11531,2
693,425,7,1,163420,2
694,644,7,5,113548,1
695,560,5,5,78087,3
696,742,7,3,167100,4
697,407,3,4,38030,1
698,856,7,1,32792,2
699,736,6,6,139460,1
700,813,6,4,187769,4
701,389,2,1,41224,0
702,514,2,6,47959,4
703,618,7,7,26544,1
704,356,1,7,109523,3
705,858,9,1,173210,0
706,701,3,6,154770,4
707,521,6,3,105421,3
708,774,3,3,199659,4
709,407,9,7,87351,2
710,479,10,2,189610,3
711,476,7,1,179119,2
712,786,1,1,111031,0
713,713,4,7,102244,0
714,336,5,1,77545,0
715,874,7,3,135700,0
716,567,7,6,172474,2
717,687,5,1,174263,2
718,653,1,2,35727,1
719,569,5,5,35294,1
720,568,5,2,25223,2
721,741,4,6,159720,0
722,604,6,5,97240,1
723,545,8,3,196046,3
724,477,10,7,4519,2
725,366,5,6,84615,3
726,576,8,4,23280,0
727,507,5,6,90910,2
728,606,3,3,187690,1
729,849,8,4,178911,1
730,837,4,5,46079,3
731,817,3,4,132448,2
732,573,3,5,132850,0
733,532,6,6,104579,4
734,413,8,4,168183,4
735,433,10,5,154448,0
736,724,5,6,135667,1
737,324,1,4,150955,4
738,859,1,5,79723,0
739,579,3,2,74025,3
740,642,6,1,124934,1
741,371,2,2,184223,0
742,500,1,3,164249,3
743,625,7,7,97962,2
744,332,2,7,191592,4
745,396,8,4,59150,4
746,856,2,7,85403,4
747,562,11,6,47686,0
748,369,1,5,55947,2
749,592,10,2,163298,0
750,506,2,2,64426,0
751,471,2,6,118387,2
752,694,7,5,41252,3
753,555,1,4,147895,1
754,563,3,6,26927,4
755,563,5,3,197716,2
756,816,7,3,157173,3
757,309,6,6,68034,2
758,570,8,3,121785,1
759,611,1,7,97647,2
760,669,7,5,179848,2
761,866,9,2,51819,3
762,852,7,6,53336,4
763,690,6,3,190021,4
764,414,9,2,191040,3
765,874,4,6,104221,3
766,643,10,3,49773,0
767,709,6,3,89781,0
768,845,6,6,185626,1
769,677,10,4,30581,0
770,755,3,5,100361,0
771,722,7,4,89232,2
772,743,1,7,149824,2
773,496,11,2,25486,3
774,662,8,7,121426,4
775,709,8,2,54785,1
776,873,8,6,82141,0
777,693,9,5,98620,2
778,808,4,3,184962,4
779,865,6,5,26503,0
780,593,11,3,114329,4
781,324,7,1,153656,2
782,536,2,7,183960,3
783,760,6,1,173736,0
784,620,8,5,58626,0
785,399,4,7,144093,1
786,707,5,1,116658,0
787,454,8,1,143370,2
788,733,3,7,155917,4
789,733,6,7,61197,4
790,442,1,2,109585,3
791,828,4,3,45976,3
792,584,6,6,73686,2
793,304,3,1,43552,4
794,822,1,4,177995,3
795,735,6,7,173597,3
796,717,3,2,43377,1
797,380,8,3,41123,1
798,844,7,2,94479,2
799,676,11,4,91496,2
800,458,7,6,179039,2
801,516,8,3,11837,2
802,344,7,5,20519,4
803,514,5,5,87096,0
804,810,10,2,24307,2
805,427,8,6,20640,1
806,553,8,5,97716,0
807,849,11,7,155968,0
808,651,8,3,64001,4
809,840,10,4,57615,3
810,463,6,4,115541,0
811,834,2,5,12632,4
812,430,8,1,89362,4
813,897,10,1,22216,4
814,803,1,6,142196,2
815,723,9,1,28737,3
816,483,9,5,162207,2
817,822,6,5,35839,1
818,853,10,5,124211,3
819,534,6,7,151585,2
820,430,6,3,176081,3
821,313,11,1,136356,1
822,679,4,2,37303,2
823,359,1,6,40133,3
824,591,1,3,16298,1
825,459,1,6,1352,4
826,746,5,6,4122,3
827,837,7,3,6207,1
828,876,1,5,163013,4
829,685,1,5,179663,1
830,369,11,3,150487,0
831,681,6,5,124739,1
832,524,11,1,128142,2
833,807,2,3,39593,2
834,339,2,7,177228,2
835,445,7,7,123569,2
836,665,9,6,123279,0
837,547,8,7,169460,0
838,311,2,3,67706,0
839,835,7,7,131309,4
840,809,5,3,82041,3
841,544,11,5,137712,2
842,470,10,7,60472,3
843,331,4,3,169757,2
844,728,10,2,88165,2
845,334,4,2,78361,2
846,504,4,1,27181,0
847,683,9,3,41074,4
848,565,7,7,48030,2
849,876,7,3,12125,2
850,742,4,6,6801,2
851,784,9,5,56897,1
852,769,8,6,49266,2
853,565,10,7,91183,0
854,408,4,4,3292,0
855,788,6,6,120362,3
856,477,4,7,15977,0
857,548,1,4,43193,3
858,304,5,7,115881,4
859,456,10,3,95745,1
860,529,11,1,177459,0
861,560,3,2,94694,2
862,620,1,3,29964,4
863,426,2,3,59073,2
864,327,2,1,91147,3
865,809,8,1,47607,3
866,527,4,4,33577,1
867,840,3,7,24572,4
868,478,4,3,80494,3
869,587,10,7,42204,2
870,793,1,3,195613,0
871,564,1,5,170052,0
872,766,5,2,58272,4
873,694,7,5,138017,4
874,731,9,5,98572,3
875,734,7,2,22879,0
876,687,11,3,7319,1
877,836,5,4,46245,1
878,444,3,7,183005,1
879,474,8,2,159502,1
880,819,7,1,26791,3
881,613,4,3,181839,2
882,428,1,2,87083,1
883,813,3,2,81195,3
884,309,11,6,22658,1
885,646,8,7,64713,1
886,416,2,2,100835,2
887,710,9,4,80975,1
888,696,4,5,21945,3
889,310,7,5,101079,3
890,697,10,6,73672,0
891,392,7,2,11681,4
892,401,8,2,179899,1
893,397,7,5,43109,1
894,581,11,4,137227,3
895,720,4,3,24789,1
896,663,7,5,62572,3
897,510,5,2,30563,0
898,807,10,4,153802,1
899,375,7,7,161139,0
900,622,3,4,48358,0
901,751,10,7,180131,4
902,317,11,6,17466,3
903,590,7,2,190939,0
904,497,7,1,188018,3
905,461,2,4,176412,4
906,716,8,5,175611,3
907,683,7,1,169776,4
908,499,9,6,51259,1
909,797,4,3,199682,4
910,342,9,5,196574,4
911,381,1,6,25121,4
912,838,5,7,71010,2
913,603,10,6,43884,0
914,880,7,6,163184,3
915,498,4,2,128192,3
916,705,7,1,1636,2
917,726,9,6,1799,1
918,760,5,6,127663,0
919,779,5,6,185236,0
920,423,2,5,159203,0
921,827,5,6,181506,0
922,825,8,4,117734,2
923,338,4,2,187897,3
924,498,2,1,34384,1
925,407,8,4,199696,1
926,567,4,6,152329,1
927,652,5,7,188896,2
928,610,7,2,185838,2
929,689,11,2,26604,4
930,339,5,1,198652,2
931,880,10,1,46297,0
932,451,4,1,133738,3
933,486,7,5,167304,1
934,729,4,7,1037,2
935,756,10,2,175192,3
936,526,4,6,160064,0
937,727,2,3,127825,2
938,503,5,4,188462,2
939,417,8,1,17647,3
940,693,4,2,194410,0
941,521,11,7,128556,2
942,362,2,6,23911,3
943,695,9,4,170726,0
944,304,6,3,158062,2
945,633,3,4,19137,2
946,591,10,3,157209,1
947,807,11,6,64960,4
948,444,5,1,53734,0
949,458,6,5,170348,3
950,310,9,3,87076,1
951,368,5,1,119523,2
952,843,9,4,6861,3
953,501,1,6,176573,1
954,565,10,7,127009,1
955,407,4,4,98173,4
956,353,1,4,176288,1
957,637,2,6,99294,0
958,489,2,6,32946,4
959,538,10,5,53255,4
960,642,11,2,104056,2
961,590,5,3,95376,2
962,622,1,7,149501,0
963,620,10,6,140087,3
964,341,3,2,53009,0
965,497,11,4,34870,4
966,583,6,7,41071,2
967,481,1,5,61079,0
968,310,11,1,121690,2
969,741,1,5,25962,0
970,723,3,6,84532,0
971,799,9,2,51717,1
972,687,2,4,150656,0
973,875,6,7,54156,2
974,753,3,7,55962,0
975,894,6,7,146894,3
976,301,11,3,86703,1
977,541,11,5,49101,0
978,359,7,2,176061,3
979,667,7,2,99944,2
980,339,2,1,21470,3
981,614,3,3,110491,1
982,856,4,7,93350,2
983,597,8,2,35867,0
984,749,5,3,142906,0
985,694,1,4,126268,3
986,861,9,6,189091,0
987,387,1,5,81396,2
988,832,2,2,172738,2
989,687,7,4,193528,0
990,680,11,1,78813,3
991,854,3,3,88709,0
992,730,6,6,135821,4
993,834,8,4,5746,0
994,515,5,3,59778,1
995,576,1,7,122883,0
996,493,10,7,182657,4
997,478,3,6,105806,1
998,442,11,3,43399,3
999,837,2,2,103581,1
1000,517,6,3,28544,2
1001,810,5,4,104191,4
1002,358,7,1,79490,2
1003,645,2,2,145085,2
1004,856,6,5,62508,1
1005,718,11,1,9668,1
1006,523,5,4,128300,2
1007,649,6,2,125198,3
1008,376,5,6,22712,0
1009,898,7,6,6194,0
1010,507,5,3,31549,4
1011,458,7,7,48390,1
1012,823,1,1,6350,0
1013,524,9,2,137768,3
1014,657,6,5,98550,4
1015,683,9,7,43248,1
1016,843,1,5,99572,0
1017,865,2,5,118623,2
1018,803,7,6,26597,3
1019,749,4,2,99393,3
1020,541,10,1,35693,1
1021,668,1,3,161103,3
1022,770,5,1,80147,1
1023,587,4,3,126953,3
1024,698,6,1,96644,0
1025,403,7,1,102551,1
1026,610,11,2,18532,3
1027,426,3,5,30398,0
1028,339,6,7,76330,0
1029,371,2,5,129713,0
1030,546,10,5,93276,1
1031,546,4,7,167901,1
1032,611,10,5,116118,3
1033,333,9,1,9015,2
1034,428,7,5,12742,2
1035,309,2,1,4542,4
1036,467,6,3,133445,2
1037,515,4,4,71375,2
1038,707,8,7,54331,3
1039,825,8,7,60992,1
1040,317,1,4,78026,2
1041,639,8,3,161878,4
1042,867,10,1,86934,3
1043,389,7,7,138121,0
1044,584,1,5,154114,0
1045,833,3,2,175020,4
1046,566,5,1,26704,1
1047,732,3,1,26685,0
1048,351,3,7,65451,1
1049,366,1,3,52702,2
1050,896,8,3,75233,2
1051,549,9,2,40796,2
1052,630,5,5,26755,0
1053,714,1,4,129710,0
1054,422,1,6,165335,1
1055,501,9,5,104340,1
1056,305,1,5,24521,4
1057,785,9,6,66921,2
1058,498,3,6,31344,3
1059,312,3,1,38539,3
1060,305,4,2,139352,2
1061,710,5,7,150352,4
1062,420,6,1,160502,1
1063,856,6,3,188232,0
1064,661,10,6,30594,4
1065,837,9,4,165650,4
