id,age,gender,education,employment_type,annual_income,loan_amount,loan_term,purpose,home_ownership,dependents
52,64,Female,High School,Salaried,173588,139724,12,Personal,Mortgaged,0
53,28,Male,High School,Self-Employed,161545,31297,48,Education,Mortgaged,4
54,55,Male,Master,Business,66454,149875,48,Home,Rented,1
55,34,Female,Master,Salaried,193602,11307,24,Car,Mortgaged,4
56,37,Male,Bachelor,Salaried,124273,63616,36,Home,Mortgaged,0
57,56,Female,Master,Self-Employed,228786,124828,60,Home,Rented,1
58,60,Female,High School,Business,124472,13727,48,Home,Owned,3
59,24,Male,High School,Salaried,243626,22332,60,Car,Rented,2
60,22,Female,High School,Business,233705,146906,48,Education,Mortgaged,1
61,26,Female,Diploma,Self-Employed,230704,145285,24,Car,Mortgaged,1
62,62,Male,Diploma,Salaried,220153,118741,36,Car,Rented,0
63,24,Female,Master,Business,175870,137475,12,Education,Mortgaged,3
64,49,Female,Bachelor,Self-Employed,151935,61971,12,Education,Owned,1
65,38,Female,Bachelor,Self-Employed,36148,78042,24,Education,Rented,3
66,46,Male,Bachelor,Salaried,106545,100195,48,Personal,Mortgaged,4
67,64,Female,Diploma,Business,74459,143663,24,Personal,Owned,1
68,54,Male,High School,Salaried,234417,132144,36,Education,Mortgaged,3
69,30,Female,High School,Salaried,104224,17996,12,Home,Owned,2
70,56,Female,Diploma,Business,86189,57485,60,Personal,Mortgaged,0
71,34,Female,Bachelor,Business,159201,52830,12,Car,Rented,5
72,51,Female,Bachelor,Business,111954,39370,36,Car,Mortgaged,3
73,35,Male,Master,Self-Employed,43118,62572,48,Personal,Rented,0
74,28,Male,Master,Self-Employed,151515,34098,24,Car,Owned,5
75,34,Female,Bachelor,Business,178113,7196,12,Education,Owned,1
76,43,Female,Diploma,Self-Employed,109379,147163,12,Car,Mortgaged,1
77,60,Female,Bachelor,Salaried,41053,54262,60,Personal,Rented,4
78,41,Female,Master,Business,116384,142095,24,Home,Rented,0
79,36,Female,Bachelor,Salaried,188276,25543,60,Car,Owned,2
80,38,Female,Diploma,Business,137545,107171,60,Car,Owned,2
81,44,Female,High School,Salaried,193312,75540,48,Home,Mortgaged,3
82,46,Female,Diploma,Business,146675,146035,12,Personal,Owned,2
83,45,Male,Diploma,Salaried,113749,149868,24,Home,Owned,5
84,61,Male,Master,Business,212174,45972,48,Car,Rented,0
85,49,Male,Diploma,Business,159363,77613,48,Personal,Rented,1
86,35,Female,Diploma,Self-Employed,36285,100384,48,Education,Rented,0
87,21,Female,Master,Salaried,243494,83062,36,Personal,Owned,0
88,45,Female,Master,Self-Employed,81589,8261,36,Personal,Mortgaged,1
89,27,Male,High School,Salaried,33944,22046,48,Education,Mortgaged,5
90,29,Female,Bachelor,Self-Employed,121041,18397,36,Personal,Owned,0
91,44,Male,Diploma,Business,108876,95805,24,Car,Mortgaged,2
92,21,Female,Master,Self-Employed,115561,30757,12,Car,Owned,3
93,64,Male,High School,Self-Employed,74391,137974,24,Car,Mortgaged,3
94,28,Male,Bachelor,Business,21607,123859,12,Car,Owned,0
95,44,Male,Master,Self-Employed,22953,47399,36,Education,Rented,5
96,31,Female,Bachelor,Business,64941,53330,24,Car,Mortgaged,1
97,37,Male,Bachelor,Salaried,222541,139918,60,Personal,Rented,4
98,28,Female,Diploma,Self-Employed,227994,148431,48,Home,Rented,5
99,55,Female,Diploma,Business,81683,73056,12,Education,Mortgaged,0
100,55,Female,Master,Business,221290,45832,12,Education,Owned,0
101,53,Female,Bachelor,Self-Employed,129588,122095,60,Home,Rented,4
102,25,Female,Master,Salaried,142080,109987,60,Car,Rented,3
103,62,Male,Master,Self-Employed,31154,93672,48,Car,Owned,5
104,59,Female,Bachelor,Business,145542,40885,36,Personal,Owned,3
105,61,Female,Master,Salaried,160119,26157,24,Car,Mortgaged,4
106,48,Female,Bachelor,Self-Employed,108529,24674,24,Car,Mortgaged,1
107,27,Female,Bachelor,Business,226946,37357,24,Personal,Owned,0
108,29,Female,Bachelor,Self-Employed,34323,17578,36,Car,Rented,2
109,28,Male,Bachelor,Salaried,57693,133457,48,Home,Owned,3
110,32,Male,High School,Salaried,209802,138323,24,Car,Mortgaged,3
111,54,Female,Bachelor,Salaried,109170,142493,12,Home,Rented,5
112,53,Male,Diploma,Salaried,177364,108229,12,Home,Rented,3
113,43,Male,Diploma,Salaried,65111,148274,12,Home,Mortgaged,1
114,44,Female,Diploma,Self-Employed,226525,128981,60,Car,Rented,4
115,57,Male,Bachelor,Salaried,226753,42077,60,Car,Owned,1
116,55,Female,Diploma,Salaried,246325,120136,36,Education,Mortgaged,3
117,64,Male,High School,Business,59491,65530,24,Personal,Rented,5
118,60,Male,Master,Salaried,69336,123179,60,Personal,Mortgaged,0
119,42,Male,Bachelor,Business,36905,32122,12,Education,Rented,3
120,47,Female,Diploma,Business,50273,34381,60,Home,Owned,0
121,55,Male,High School,Business,145191,110614,12,Personal,Mortgaged,5
122,21,Male,Master,Self-Employed,135936,118271,24,Education,Rented,0
123,55,Female,High School,Self-Employed,177306,143160,36,Home,Owned,3
124,57,Female,Diploma,Business,229957,102354,48,Education,Owned,3
125,34,Male,High School,Self-Employed,86538,132728,48,Car,Owned,0
126,23,Female,Master,Salaried,124570,17822,12,Car,Rented,1
127,21,Male,Diploma,Self-Employed,183645,137508,60,Home,Rented,1
128,25,Male,Master,Salaried,113339,116201,60,Home,Owned,5
129,46,Female,High School,Salaried,141132,32281,12,Car,Owned,1
130,34,Female,Bachelor,Self-Employed,215392,93017,24,Personal,Owned,2
131,59,Female,Bachelor,Self-Employed,148993,101005,12,Personal,Owned,0
132,47,Male,Bachelor,Business,31330,89403,24,Car,Owned,2
133,29,Female,Bachelor,Self-Employed,243112,111023,36,Personal,Rented,2
134,35,Male,Master,Self-Employed,231588,27766,36,Car,Mortgaged,0
135,35,Female,Bachelor,Self-Employed,92553,98891,12,Education,Mortgaged,2
136,46,Male,Master,Salaried,192425,67239,36,Education,Mortgaged,5
137,62,Female,Diploma,Salaried,167083,138866,60,Education,Rented,5
138,33,Male,Bachelor,Salaried,103537,61764,24,Personal,Mortgaged,0
139,52,Female,Master,Business,80985,35858,48,Education,Mortgaged,4
140,59,Male,Bachelor,Business,37044,47850,48,Home,Mortgaged,4
141,52,Female,Bachelor,Business,189364,149090,36,Home,Mortgaged,0
142,24,Female,Bachelor,Salaried,142304,132171,24,Education,Owned,0
143,50,Male,Master,Self-Employed,156322,88017,60,Home,Rented,0
144,57,Female,High School,Business,43289,55790,48,Education,Mortgaged,1
145,43,Male,Bachelor,Business,53087,86120,60,Education,Owned,0
146,59,Male,Bachelor,Salaried,95952,14850,60,Car,Mortgaged,5
147,35,Female,Diploma,Business,241767,111759,48,Education,Mortgaged,5
148,63,Male,High School,Self-Employed,56368,70696,48,Home,Mortgaged,3
149,49,Female,Master,Salaried,140648,92826,36,Personal,Mortgaged,4
150,56,Female,Diploma,Salaried,90815,144490,24,Education,Mortgaged,4
151,33,Male,Bachelor,Self-Employed,110693,128152,12,Car,Owned,0
152,52,Female,Diploma,Self-Employed,212112,12081,24,Home,Mortgaged,4
153,27,Male,Diploma,Self-Employed,78900,107716,12,Car,Owned,0
154,42,Male,Bachelor,Business,35494,146186,48,Education,Mortgaged,0
155,48,Female,High School,Self-Employed,136486,23722,60,Education,Rented,4
156,22,Female,High School,Salaried,196238,92508,24,Education,Owned,4
157,62,Male,Diploma,Self-Employed,242182,134752,60,Education,Mortgaged,3
158,26,Male,Bachelor,Salaried,176405,22985,24,Home,Owned,2
159,48,Female,Master,Salaried,53050,141960,24,Personal,Mortgaged,3
160,48,Female,Diploma,Business,117799,125234,60,Education,Mortgaged,3
161,64,Female,Master,Self-Employed,151016,88845,36,Car,Owned,4
162,64,Female,Diploma,Business,249147,128446,48,Home,Mortgaged,5
163,40,Male,Diploma,Self-Employed,230638,111747,36,Home,Mortgaged,3
164,50,Female,Bachelor,Self-Employed,108257,27036,36,Home,Mortgaged,5
165,31,Male,Bachelor,Self-Employed,68070,34346,24,Car,Mortgaged,4
166,48,Male,Master,Self-Employed,25166,118507,48,Personal,Mortgaged,1
167,45,Female,Master,Self-Employed,158193,119673,24,Car,Mortgaged,0
168,59,Male,High School,Salaried,165749,31691,12,Car,Owned,2
169,53,Female,Bachelor,Salaried,207633,110578,24,Car,Rented,5
170,21,Male,Diploma,Self-Employed,247849,22986,60,Education,Mortgaged,1
171,47,Female,Diploma,Salaried,232981,54665,24,Education,Owned,5
172,33,Male,High School,Business,107409,118408,12,Car,Rented,0
173,61,Male,Bachelor,Business,57664,78728,24,Car,Owned,0
174,23,Female,Diploma,Business,149926,55054,12,Education,Rented,2
175,59,Female,High School,Self-Employed,21293,145484,48,Education,Rented,3
176,26,Male,High School,Self-Employed,173515,86499,24,Personal,Rented,0
177,28,Male,Diploma,Salaried,69212,104159,12,Car,Owned,2
178,47,Female,Diploma,Salaried,235203,71553,48,Home,Rented,5
179,29,Male,Master,Salaried,95276,10279,60,Personal,Mortgaged,5
180,57,Female,Bachelor,Business,32559,12712,36,Home,Mortgaged,5
181,53,Male,Master,Business,85231,20817,12,Personal,Rented,5
182,62,Female,High School,Business,128277,98616,60,Car,Rented,5
183,64,Male,Diploma,Business,190116,142696,48,Home,Mortgaged,4
184,44,Female,Master,Salaried,41747,85667,60,Education,Owned,0
185,35,Female,High School,Self-Employed,224581,31093,24,Personal,Owned,0
186,52,Male,Bachelor,Self-Employed,231941,116030,36,Home,Mortgaged,3
187,52,Female,Diploma,Business,181201,122385,12,Personal,Owned,3
188,44,Male,Master,Self-Employed,20037,34030,48,Car,Owned,4
189,61,Female,Bachelor,Self-Employed,124294,49067,36,Home,Rented,0
190,32,Female,Master,Self-Employed,117847,141279,48,Home,Owned,3
191,59,Female,High School,Business,123742,81433,60,Home,Mortgaged,2
192,22,Male,Bachelor,Salaried,68503,31639,48,Personal,Owned,5
193,23,Female,Master,Salaried,48207,138864,48,Education,Rented,5
194,57,Male,Bachelor,Self-Employed,53241,5420,60,Education,Mortgaged,0
195,37,Female,High School,Salaried,151130,24198,60,Education,Mortgaged,5
196,22,Male,Bachelor,Salaried,219244,87951,36,Car,Mortgaged,5
197,22,Male,Master,Business,116171,22875,12,Home,Rented,2
198,48,Male,High School,Business,165906,75511,60,Education,Mortgaged,1
199,43,Female,Diploma,Self-Employed,232185,96997,36,Education,Rented,4
200,57,Male,Master,Self-Employed,137302,26331,48,Home,Rented,3
201,52,Female,Master,Self-Employed,178262,21893,48,Car,Owned,1
202,53,Male,High School,Business,92832,23243,24,Personal,Mortgaged,3
203,21,Male,High School,Salaried,41383,20535,60,Personal,Owned,1
204,39,Male,Diploma,Business,144291,72394,36,Personal,Owned,5
205,22,Male,Master,Business,175732,84214,36,Home,Rented,3
206,64,Female,High School,Salaried,22674,125295,12,Car,Owned,4
207,46,Male,Diploma,Salaried,134100,105369,36,Home,Owned,0
208,52,Male,Diploma,Self-Employed,129369,117695,60,Personal,Owned,2
209,26,Female,High School,Salaried,42820,18346,36,Education,Mortgaged,1
210,52,Male,Master,Salaried,236112,142845,24,Education,Owned,2
211,24,Male,Bachelor,Salaried,176738,127580,48,Education,Rented,2
212,31,Male,Bachelor,Salaried,63794,80324,48,Personal,Mortgaged,3
213,37,Male,Diploma,Self-Employed,153148,107746,36,Car,Rented,0
214,58,Female,Bachelor,Self-Employed,215926,79783,36,Personal,Mortgaged,3
215,44,Female,Bachelor,Salaried,148544,21959,36,Home,Mortgaged,2
216,25,Male,High School,Salaried,203414,94343,36,Car,Mortgaged,5
217,54,Female,Diploma,Self-Employed,57555,56150,24,Education,Rented,4
218,26,Female,Master,Self-Employed,206280,26734,60,Car,Owned,0
219,42,Male,Diploma,Salaried,52406,22400,24,Car,Mortgaged,0
220,31,Female,High School,Business,212644,103329,24,Personal,Rented,5
221,36,Male,Bachelor,Self-Employed,60262,129438,24,Car,Mortgaged,2
222,53,Female,Master,Self-Employed,111320,102753,48,Personal,Owned,3
223,29,Female,Diploma,Self-Employed,237733,113863,24,Home,Mortgaged,5
224,26,Female,Bachelor,Salaried,174288,9746,36,Car,Rented,4
225,36,Male,Diploma,Salaried,219189,128765,24,Car,Mortgaged,1
226,49,Female,Master,Self-Employed,232208,149289,36,Car,Rented,3
227,23,Male,Diploma,Salaried,50284,68184,60,Education,Owned,0
228,40,Male,Diploma,Salaried,171243,93898,48,Personal,Owned,5
229,56,Female,Diploma,Self-Employed,110627,46835,60,Personal,Mortgaged,3
230,39,Male,Bachelor,Salaried,165405,14133,60,Education,Owned,1
231,46,Female,Master,Business,181607,106345,48,Personal,Rented,4
232,23,Male,Master,Salaried,109023,45533,36,Home,Mortgaged,5
233,39,Male,Bachelor,Salaried,227012,141476,36,Education,Rented,4
234,40,Female,Bachelor,Self-Employed,184772,33725,36,Personal,Mortgaged,1
235,52,Female,Bachelor,Self-Employed,234655,132240,48,Home,Rented,1
236,27,Female,High School,Business,61516,6236,24,Personal,Mortgaged,2
237,61,Female,Diploma,Salaried,35577,72916,12,Education,Rented,0
238,53,Male,Diploma,Business,240906,110481,24,Personal,Rented,2
239,60,Male,Master,Business,35015,133357,24,Home,Mortgaged,3
240,59,Male,Diploma,Self-Employed,111104,19538,60,Home,Rented,1
241,38,Female,High School,Salaried,134412,148043,12,Home,Owned,2
242,60,Male,Bachelor,Self-Employed,111740,104821,36,Personal,Rented,0
243,21,Female,Master,Business,248356,43655,24,Education,Mortgaged,0
244,31,Male,Master,Business,242875,65784,48,Personal,Owned,1
245,48,Female,Diploma,Self-Employed,172308,127547,24,Car,Owned,5
246,45,Male,Master,Self-Employed,249223,123177,36,Education,Rented,2
247,43,Male,Bachelor,Self-Employed,86640,95982,24,Car,Rented,4
248,51,Female,Master,Self-Employed,103190,49191,60,Personal,Rented,1
249,50,Male,Bachelor,Self-Employed,149516,59112,60,Education,Owned,3
250,62,Female,High School,Business,196776,16399,24,Car,Owned,2
251,55,Male,High School,Self-Employed,193441,109365,60,Personal,Owned,2
252,27,Male,Bachelor,Salaried,154718,17685,48,Education,Mortgaged,1
253,36,Female,Diploma,Business,107007,92777,12,Home,Mortgaged,5
254,46,Female,Master,Business,176978,9487,24,Home,Rented,2
255,22,Male,Diploma,Salaried,237715,17018,48,Home,Mortgaged,2
256,21,Male,Master,Salaried,67728,143822,48,Car,Mortgaged,3
257,32,Male,High School,Business,34878,88220,48,Car,Rented,5
258,25,Male,High School,Self-Employed,148925,48118,36,Personal,Rented,3
259,57,Male,High School,Business,29145,64615,24,Home,Owned,4
260,52,Male,Master,Business,108578,84946,24,Car,Owned,3
261,29,Female,High School,Salaried,38226,126869,24,Home,Rented,4
262,61,Female,High School,Business,22802,20105,12,Personal,Rented,3
263,55,Female,High School,Self-Employed,44119,106564,48,Education,Mortgaged,4
264,39,Male,High School,Salaried,83560,52342,24,Car,Mortgaged,5
265,36,Male,Diploma,Business,77353,117016,60,Car,Mortgaged,3
266,23,Male,High School,Business,243793,65506,36,Education,Rented,3
267,40,Female,High School,Self-Employed,143001,29967,12,Car,Rented,1
268,44,Female,Diploma,Business,213198,41023,36,Personal,Owned,3
269,53,Male,Diploma,Business,91641,59288,48,Car,Mortgaged,4
270,44,Male,Master,Business,71712,129939,60,Car,Owned,1
271,31,Female,Bachelor,Business,203261,106541,48,Education,Rented,4
272,28,Female,High School,Self-Employed,208856,31622,24,Personal,Mortgaged,3
273,56,Female,High School,Business,150085,50201,36,Home,Owned,3
274,58,Male,High School,Business,88285,21350,60,Home,Rented,4
275,60,Male,Master,Business,135278,59820,36,Education,Owned,5
276,40,Male,High School,Salaried,194021,53709,12,Personal,Mortgaged,5
277,55,Female,Bachelor,Self-Employed,185201,93232,60,Education,Owned,5
278,45,Female,Diploma,Salaried,44512,146296,12,Education,Owned,2
279,55,Male,Master,Salaried,122077,141537,60,Home,Rented,1
280,45,Male,Diploma,Self-Employed,230103,87418,24,Personal,Mortgaged,1
281,49,Female,High School,Salaried,214626,102739,36,Personal,Owned,5
282,38,Male,High School,Salaried,22064,60214,36,Education,Rented,3
283,38,Female,High School,Salaried,115614,139016,48,Home,Mortgaged,1
284,22,Female,Bachelor,Self-Employed,202639,29336,60,Personal,Rented,4
285,55,Male,Bachelor,Business,137639,43624,60,Education,Mortgaged,3
286,36,Female,Master,Self-Employed,50011,70206,12,Car,Rented,1
287,61,Male,Diploma,Self-Employed,91152,49764,60,Home,Rented,0
288,56,Female,High School,Self-Employed,224583,99325,36,Personal,Rented,1
289,53,Female,High School,Salaried,30960,50420,60,Personal,Owned,5
290,24,Male,High School,Business,244600,109381,48,Personal,Owned,4
291,53,Female,High School,Self-Employed,141789,70671,48,Home,Rented,1
292,34,Male,Bachelor,Self-Employed,78920,112596,36,Education,Mortgaged,2
293,41,Male,Diploma,Business,41387,31447,36,Car,Rented,5
294,40,Female,Diploma,Business,166396,140105,36,Personal,Owned,2
295,28,Male,Master,Business,83960,25497,60,Home,Mortgaged,3
296,27,Male,Bachelor,Salaried,142994,84714,60,Personal,Owned,2
297,23,Male,High School,Business,222851,131892,24,Education,Rented,4
298,37,Male,Diploma,Salaried,52628,148954,12,Car,Owned,0
299,53,Male,Diploma,Self-Employed,141269,64870,60,Personal,Owned,0
300,32,Male,Bachelor,Salaried,226168,102847,24,Home,Owned,3
301,42,Female,Master,Business,67452,101134,24,Education,Rented,3
302,42,Male,Master,Salaried,61098,106110,48,Car,Owned,2
303,50,Female,High School,Business,221531,76918,60,Home,Rented,4
304,58,Female,Master,Salaried,190307,8159,24,Personal,Rented,2
305,58,Male,Diploma,Self-Employed,106861,76192,48,Home,Owned,4
306,28,Female,Master,Salaried,47949,71988,12,Car,Mortgaged,4
307,47,Female,High School,Self-Employed,173893,112739,48,Education,Owned,0
308,47,Male,Diploma,Business,222684,23706,12,Education,Owned,4
309,54,Male,Master,Self-Employed,173104,145934,36,Personal,Owned,1
310,41,Male,Master,Business,93537,15219,36,Personal,Mortgaged,4
311,50,Female,Bachelor,Business,166375,94017,48,Personal,Mortgaged,0
312,53,Female,High School,Self-Employed,136003,39536,36,Personal,Rented,5
313,48,Male,Master,Self-Employed,233065,76632,60,Car,Mortgaged,2
314,53,Male,Bachelor,Salaried,163375,113798,48,Personal,Mortgaged,4
315,25,Female,Diploma,Salaried,70701,38937,24,Home,Owned,1
316,39,Female,Bachelor,Self-Employed,70511,26094,60,Car,Rented,3
317,24,Female,Bachelor,Self-Employed,100664,130312,48,Car,Rented,2
318,55,Female,Master,Self-Employed,169352,109894,12,Personal,Mortgaged,3
319,37,Male,Master,Self-Employed,59427,122118,36,Car,Mortgaged,1
320,64,Female,Master,Business,117180,88325,36,Home,Owned,0
321,48,Female,Bachelor,Self-Employed,123550,136195,36,Car,Mortgaged,5
322,50,Female,Diploma,Self-Employed,158039,76445,48,Car,Mortgaged,0
323,49,Female,High School,Self-Employed,157733,36854,60,Home,Rented,5
324,26,Male,Bachelor,Self-Employed,97952,65796,12,Home,Mortgaged,2
325,55,Male,Master,Business,86046,74432,36,Car,Owned,4
326,61,Female,High School,Salaried,126918,22111,60,Education,Rented,4
327,57,Female,Diploma,Salaried,55200,77575,24,Car,Rented,3
328,44,Male,High School,Salaried,87442,115380,24,Home,Mortgaged,0
329,49,Male,Master,Salaried,212743,29099,12,Home,Owned,4
330,51,Female,Bachelor,Salaried,111070,113871,36,Home,Rented,5
331,55,Female,Bachelor,Business,78168,20029,24,Education,Owned,4
332,53,Male,Master,Salaried,68322,20793,60,Home,Owned,0
333,41,Male,Bachelor,Business,233056,53106,60,Personal,Mortgaged,0
334,52,Male,Master,Business,188768,90662,24,Personal,Owned,1
335,43,Male,Bachelor,Salaried,90246,137044,36,Education,Rented,3
336,53,Male,Bachelor,Salaried,189964,136432,12,Home,Mortgaged,0
337,23,Male,Bachelor,Salaried,35583,138704,36,Home,Rented,1
338,38,Female,Diploma,Self-Employed,102720,85882,48,Personal,Owned,0
339,45,Male,Diploma,Business,206287,118858,24,Personal,Owned,2
340,62,Male,Master,Salaried,175925,82656,48,Car,Mortgaged,5
341,51,Male,Diploma,Self-Employed,157181,55908,24,Education,Mortgaged,5
342,23,Male,Master,Business,79757,143890,12,Car,Rented,2
343,60,Female,High School,Self-Employed,26659,35579,36,Education,Rented,2
344,44,Female,High School,Self-Employed,21238,60178,36,Home,Owned,0
345,52,Male,Diploma,Salaried,141270,118204,24,Home,Mortgaged,4
346,42,Female,High School,Business,139211,100373,60,Education,Owned,4
347,43,Female,High School,Self-Employed,35064,137047,48,Car,Owned,2
348,22,Female,Bachelor,Business,182187,21265,36,Personal,Rented,3
349,47,Female,Bachelor,Salaried,183024,68518,36,Education,Rented,5
350,62,Female,Master,Business,156692,140390,24,Education,Rented,1
351,22,Female,High School,Self-Employed,119790,125611,60,Education,Mortgaged,2
352,46,Male,Master,Self-Employed,122985,120475,48,Home,Rented,5
353,37,Male,Master,Business,64258,109968,60,Education,Mortgaged,1
354,60,Male,High School,Self-Employed,155542,116686,60,Home,Owned,1
355,53,Male,Diploma,Self-Employed,173075,81377,24,Personal,Mortgaged,2
356,29,Male,High School,Self-Employed,178643,96671,60,Personal,Rented,4
357,63,Female,Bachelor,Salaried,44668,148499,48,Car,Mortgaged,3
358,59,Male,High School,Salaried,97259,107263,12,Home,Mortgaged,5
359,49,Male,Diploma,Self-Employed,132192,126359,12,Personal,Rented,2
360,62,Female,Master,Business,116576,103844,48,Personal,Rented,1
361,46,Female,Master,Salaried,125481,69927,24,Car,Owned,5
362,55,Male,Bachelor,Business,131505,78170,36,Car,Mortgaged,0
363,45,Female,Bachelor,Self-Employed,183118,81150,24,Car,Owned,0
364,44,Female,Bachelor,Self-Employed,222049,29866,48,Home,Owned,5
365,33,Female,Master,Business,228327,15282,60,Education,Mortgaged,5
366,27,Female,Bachelor,Salaried,25397,20412,12,Home,Owned,1
367,56,Male,High School,Business,119925,129135,60,Car,Mortgaged,2
368,40,Female,Master,Business,103481,125019,24,Education,Owned,4
369,21,Male,Diploma,Self-Employed,173305,29583,48,Personal,Owned,2
370,28,Male,Master,Salaried,234408,66922,12,Home,Mortgaged,3
371,36,Female,High School,Business,80308,11185,48,Car,Rented,5
372,34,Female,High School,Salaried,220798,91348,12,Car,Mortgaged,0
373,32,Female,Bachelor,Self-Employed,214291,96368,12,Education,Rented,1
374,43,Male,Master,Salaried,21130,22423,12,Home,Mortgaged,4
375,35,Female,Master,Self-Employed,144293,56268,24,Personal,Mortgaged,2
376,48,Female,Master,Salaried,34071,117692,48,Personal,Rented,3
377,54,Female,Diploma,Business,105517,100201,36,Education,Rented,2
378,22,Female,Bachelor,Self-Employed,130240,88744,36,Education,Mortgaged,3
379,52,Female,High School,Business,22118,123222,36,Personal,Mortgaged,2
380,43,Male,High School,Self-Employed,151735,93590,48,Education,Mortgaged,4
381,42,Female,Bachelor,Salaried,82408,127942,60,Education,Rented,4
382,45,Female,High School,Salaried,71786,139643,48,Home,Mortgaged,1
383,42,Female,High School,Self-Employed,101271,24576,12,Education,Rented,4
384,42,Male,Bachelor,Self-Employed,39158,124641,60,Car,Owned,3
385,62,Female,High School,Self-Employed,51087,145752,12,Car,Rented,1
386,26,Male,Master,Salaried,108114,120042,12,Car,Owned,4
387,35,Male,Diploma,Self-Employed,204193,138846,48,Education,Mortgaged,0
388,63,Female,Bachelor,Self-Employed,39874,103908,36,Personal,Mortgaged,3
389,57,Female,Diploma,Business,103443,113724,60,Car,Rented,1
390,53,Female,High School,Self-Employed,60821,85225,24,Home,Owned,3
391,28,Male,High School,Business,135675,87273,36,Education,Mortgaged,1
392,64,Male,Master,Business,80582,131170,24,Personal,Mortgaged,3
393,64,Male,Bachelor,Business,142603,103737,48,Personal,Owned,0
394,25,Male,High School,Salaried,173859,101537,60,Education,Mortgaged,4
395,59,Male,Bachelor,Business,215775,62602,48,Education,Mortgaged,2
396,24,Male,Bachelor,Self-Employed,172777,71403,24,Home,Rented,2
397,26,Female,Bachelor,Salaried,89381,32182,12,Education,Mortgaged,2
398,52,Female,Bachelor,Salaried,131800,84876,48,Education,Owned,1
399,50,Male,Bachelor,Salaried,150805,52059,60,Personal,Mortgaged,4
400,55,Female,Diploma,Salaried,195725,144859,48,Car,Rented,5
